filename,augmentation,level,achieved_snr_db
00d4b6b7-7d0a60bf.jpg,rain,1,21.62
00d4b6b7-7d0a60bf.jpg,rain,2,16.35
00d4b6b7-7d0a60bf.jpg,rain,3,12.3
00d4b6b7-7d0a60bf.jpg,rain,4,9.88
00d4b6b7-7d0a60bf.jpg,rain,5,8.16
00d4b6b7-7d0a60bf.jpg,rain,6,6.91
00d4b6b7-7d0a60bf.jpg,rain,7,5.94
00d4b6b7-7d0a60bf.jpg,rain,8,5.17
00d4b6b7-7d0a60bf.jpg,rain,9,4.52
01118704-2d838d7f.jpg,motion_blur,1,31.93
01118704-2d838d7f.jpg,motion_blur,2,27.41
01118704-2d838d7f.jpg,motion_blur,3,25.29
01118704-2d838d7f.jpg,motion_blur,4,23.97
01118704-2d838d7f.jpg,motion_blur,5,23.03
01118704-2d838d7f.jpg,motion_blur,6,22.32
01118704-2d838d7f.jpg,motion_blur,7,21.76
01118704-2d838d7f.jpg,motion_blur,8,21.29
01118704-2d838d7f.jpg,motion_blur,9,20.88
01118704-2d838d7f.jpg,low_light,1,10.18
01118704-2d838d7f.jpg,low_light,2,7.63
01118704-2d838d7f.jpg,low_light,3,5.68
01118704-2d838d7f.jpg,low_light,4,4.17
01118704-2d838d7f.jpg,low_light,5,2.98
01118704-2d838d7f.jpg,low_light,6,2.0
01118704-2d838d7f.jpg,low_light,7,1.23
01118704-2d838d7f.jpg,low_light,8,0.63
01118704-2d838d7f.jpg,low_light,9,0.19
01118704-2d838d7f.jpg,rain,1,23.22
01118704-2d838d7f.jpg,rain,2,18.45
01118704-2d838d7f.jpg,rain,3,14.0
01118704-2d838d7f.jpg,rain,4,11.42
01118704-2d838d7f.jpg,rain,5,9.62
01118704-2d838d7f.jpg,rain,6,8.31
01118704-2d838d7f.jpg,rain,7,7.3
01118704-2d838d7f.jpg,rain,8,6.5
01118704-2d838d7f.jpg,rain,9,5.81
0115917e-14907a6a.jpg,motion_blur,1,34.12
0115917e-14907a6a.jpg,motion_blur,2,29.15
0115917e-14907a6a.jpg,motion_blur,3,26.87
0115917e-14907a6a.jpg,motion_blur,4,25.5
0115917e-14907a6a.jpg,motion_blur,5,24.51
0115917e-14907a6a.jpg,motion_blur,6,23.77
0115917e-14907a6a.jpg,motion_blur,7,23.19
0115917e-14907a6a.jpg,motion_blur,8,22.7
0115917e-14907a6a.jpg,motion_blur,9,22.27
0115917e-14907a6a.jpg,low_light,1,9.42
0115917e-14907a6a.jpg,low_light,2,7.17
0115917e-14907a6a.jpg,low_light,3,5.39
0115917e-14907a6a.jpg,low_light,4,3.98
0115917e-14907a6a.jpg,low_light,5,2.86
0115917e-14907a6a.jpg,low_light,6,1.92
0115917e-14907a6a.jpg,low_light,7,1.18
0115917e-14907a6a.jpg,low_light,8,0.6
0115917e-14907a6a.jpg,low_light,9,0.18
0115917e-14907a6a.jpg,rain,1,21.83
0115917e-14907a6a.jpg,rain,2,16.11
0115917e-14907a6a.jpg,rain,3,12.26
0115917e-14907a6a.jpg,rain,4,9.91
0115917e-14907a6a.jpg,rain,5,8.21
0115917e-14907a6a.jpg,rain,6,6.94
0115917e-14907a6a.jpg,rain,7,5.93
0115917e-14907a6a.jpg,rain,8,5.11
0115917e-14907a6a.jpg,rain,9,4.41
02188a44-65ad27f3.jpg,motion_blur,1,33.01
02188a44-65ad27f3.jpg,motion_blur,2,27.96
02188a44-65ad27f3.jpg,motion_blur,3,25.75
02188a44-65ad27f3.jpg,motion_blur,4,24.49
02188a44-65ad27f3.jpg,motion_blur,5,23.59
02188a44-65ad27f3.jpg,motion_blur,6,22.9
02188a44-65ad27f3.jpg,motion_blur,7,22.35
02188a44-65ad27f3.jpg,motion_blur,8,21.89
02188a44-65ad27f3.jpg,motion_blur,9,21.5
02188a44-65ad27f3.jpg,low_light,1,8.84
02188a44-65ad27f3.jpg,low_light,2,6.77
02188a44-65ad27f3.jpg,low_light,3,5.11
02188a44-65ad27f3.jpg,low_light,4,3.79
02188a44-65ad27f3.jpg,low_light,5,2.72
02188a44-65ad27f3.jpg,low_light,6,1.84
02188a44-65ad27f3.jpg,low_light,7,1.13
02188a44-65ad27f3.jpg,low_light,8,0.57
02188a44-65ad27f3.jpg,low_light,9,0.17
02188a44-65ad27f3.jpg,rain,1,23.14
02188a44-65ad27f3.jpg,rain,2,16.92
02188a44-65ad27f3.jpg,rain,3,12.41
02188a44-65ad27f3.jpg,rain,4,9.79
02188a44-65ad27f3.jpg,rain,5,7.94
02188a44-65ad27f3.jpg,rain,6,6.58
02188a44-65ad27f3.jpg,rain,7,5.52
02188a44-65ad27f3.jpg,rain,8,4.68
02188a44-65ad27f3.jpg,rain,9,3.95
02494b7b-079febf8.jpg,motion_blur,1,33.82
02494b7b-079febf8.jpg,motion_blur,2,28.61
02494b7b-079febf8.jpg,motion_blur,3,26.08
02494b7b-079febf8.jpg,motion_blur,4,24.58
02494b7b-079febf8.jpg,motion_blur,5,23.55
02494b7b-079febf8.jpg,motion_blur,6,22.78
02494b7b-079febf8.jpg,motion_blur,7,22.17
02494b7b-079febf8.jpg,motion_blur,8,21.67
02494b7b-079febf8.jpg,motion_blur,9,21.23
02494b7b-079febf8.jpg,low_light,1,9.77
02494b7b-079febf8.jpg,low_light,2,7.49
02494b7b-079febf8.jpg,low_light,3,5.61
02494b7b-079febf8.jpg,low_light,4,4.16
02494b7b-079febf8.jpg,low_light,5,2.97
02494b7b-079febf8.jpg,low_light,6,2.01
02494b7b-079febf8.jpg,low_light,7,1.23
02494b7b-079febf8.jpg,low_light,8,0.63
02494b7b-079febf8.jpg,low_light,9,0.19
02494b7b-079febf8.jpg,rain,1,21.53
02494b7b-079febf8.jpg,rain,2,15.82
02494b7b-079febf8.jpg,rain,3,11.72
02494b7b-079febf8.jpg,rain,4,9.21
02494b7b-079febf8.jpg,rain,5,7.39
02494b7b-079febf8.jpg,rain,6,6.04
02494b7b-079febf8.jpg,rain,7,4.96
02494b7b-079febf8.jpg,rain,8,4.07
02494b7b-079febf8.jpg,rain,9,3.31
029ffd50-dc944dba.jpg,motion_blur,1,31.33
029ffd50-dc944dba.jpg,motion_blur,2,26.64
029ffd50-dc944dba.jpg,motion_blur,3,24.59
029ffd50-dc944dba.jpg,motion_blur,4,23.35
029ffd50-dc944dba.jpg,motion_blur,5,22.44
029ffd50-dc944dba.jpg,motion_blur,6,21.74
029ffd50-dc944dba.jpg,motion_blur,7,21.18
029ffd50-dc944dba.jpg,motion_blur,8,20.71
029ffd50-dc944dba.jpg,motion_blur,9,20.33
029ffd50-dc944dba.jpg,low_light,1,9.48
029ffd50-dc944dba.jpg,low_light,2,7.25
029ffd50-dc944dba.jpg,low_light,3,5.45
029ffd50-dc944dba.jpg,low_light,4,4.03
029ffd50-dc944dba.jpg,low_light,5,2.89
029ffd50-dc944dba.jpg,low_light,6,1.95
029ffd50-dc944dba.jpg,low_light,7,1.2
029ffd50-dc944dba.jpg,low_light,8,0.61
029ffd50-dc944dba.jpg,low_light,9,0.18
029ffd50-dc944dba.jpg,rain,1,22.0
029ffd50-dc944dba.jpg,rain,2,15.09
029ffd50-dc944dba.jpg,rain,3,11.09
029ffd50-dc944dba.jpg,rain,4,8.69
029ffd50-dc944dba.jpg,rain,5,6.95
029ffd50-dc944dba.jpg,rain,6,5.66
029ffd50-dc944dba.jpg,rain,7,4.63
029ffd50-dc944dba.jpg,rain,8,3.79
029ffd50-dc944dba.jpg,rain,9,3.05
0464a98b-860229d5.jpg,motion_blur,1,29.4
0464a98b-860229d5.jpg,motion_blur,2,24.96
0464a98b-860229d5.jpg,motion_blur,3,23.14
0464a98b-860229d5.jpg,motion_blur,4,22.08
0464a98b-860229d5.jpg,motion_blur,5,21.29
0464a98b-860229d5.jpg,motion_blur,6,20.66
0464a98b-860229d5.jpg,motion_blur,7,20.13
0464a98b-860229d5.jpg,motion_blur,8,19.68
0464a98b-860229d5.jpg,motion_blur,9,19.29
0464a98b-860229d5.jpg,low_light,1,10.25
0464a98b-860229d5.jpg,low_light,2,7.74
0464a98b-860229d5.jpg,low_light,3,5.77
0464a98b-860229d5.jpg,low_light,4,4.24
0464a98b-860229d5.jpg,low_light,5,3.03
0464a98b-860229d5.jpg,low_light,6,2.04
0464a98b-860229d5.jpg,low_light,7,1.25
0464a98b-860229d5.jpg,low_light,8,0.64
0464a98b-860229d5.jpg,low_light,9,0.19
0464a98b-860229d5.jpg,rain,1,22.61
0464a98b-860229d5.jpg,rain,2,17.31
0464a98b-860229d5.jpg,rain,3,13.07
0464a98b-860229d5.jpg,rain,4,10.54
0464a98b-860229d5.jpg,rain,5,8.74
0464a98b-860229d5.jpg,rain,6,7.4
0464a98b-860229d5.jpg,rain,7,6.33
0464a98b-860229d5.jpg,rain,8,5.45
0464a98b-860229d5.jpg,rain,9,4.7
051aadb7-51aad566.jpg,motion_blur,1,36.26
051aadb7-51aad566.jpg,motion_blur,2,31.27
051aadb7-51aad566.jpg,motion_blur,3,29.17
051aadb7-51aad566.jpg,motion_blur,4,27.93
051aadb7-51aad566.jpg,motion_blur,5,27.02
051aadb7-51aad566.jpg,motion_blur,6,26.32
051aadb7-51aad566.jpg,motion_blur,7,25.76
051aadb7-51aad566.jpg,motion_blur,8,25.29
051aadb7-51aad566.jpg,motion_blur,9,24.88
051aadb7-51aad566.jpg,low_light,1,10.16
051aadb7-51aad566.jpg,low_light,2,7.62
051aadb7-51aad566.jpg,low_light,3,5.68
051aadb7-51aad566.jpg,low_light,4,4.17
051aadb7-51aad566.jpg,low_light,5,2.98
051aadb7-51aad566.jpg,low_light,6,2.0
051aadb7-51aad566.jpg,low_light,7,1.23
051aadb7-51aad566.jpg,low_light,8,0.63
