img1,img2,method,n_keypoints_img1,n_keypoints_img2,n_good_matches,n_inliers,inlier_ratio,match_ratio,avg_match_distance,detect_time_sec,match_time_sec,visualization_path,augmentation,level,snr_db,match_ratio_vs_baseline
00e9be89-00001575.jpg,00e9be89-00001580.jpg,orb,2000,2000,110,77,0.7,0.055,30.9818,0.0754,0.0204,,motion_blur,1,32.70145202270912,0.055
00e9be89-00001580.jpg,00e9be89-00001585.jpg,orb,2000,2000,55,25,0.4545,0.0275,36.3455,0.0964,0.0336,,motion_blur,1,31.79491496486708,0.0275
00e9be89-00001585.jpg,00e9be89-00001590.jpg,orb,2000,2000,19,6,0.3158,0.0095,42.7895,0.0801,0.0521,,motion_blur,1,31.76680068790791,0.0095
00e9be89-00001590.jpg,00e9be89-00001595.jpg,orb,2000,2000,19,5,0.2632,0.0095,41.8421,0.0726,0.0457,,motion_blur,1,32.35486232389124,0.0095
00e9be89-00001595.jpg,00e9be89-00001600.jpg,orb,2000,2000,29,12,0.4138,0.0145,40.5862,0.081,0.0463,,motion_blur,1,32.61059357759649,0.0145
00e9be89-00001600.jpg,00e9be89-00001605.jpg,orb,2000,2000,156,96,0.6154,0.078,31.5962,0.0765,0.0477,,motion_blur,1,32.42303865732562,0.078
00e9be89-00001605.jpg,00e9be89-00001610.jpg,orb,2000,2000,31,16,0.5161,0.0155,40.8065,0.1012,0.0786,,motion_blur,1,32.41771469917968,0.0155
00e9be89-00001610.jpg,00e9be89-00001620.jpg,orb,2000,2000,15,5,0.3333,0.0075,46.8,0.1197,0.1119,,motion_blur,1,32.988037107789,0.0075
00e9be89-00001620.jpg,00e9be89-00001625.jpg,orb,2000,2000,60,26,0.4333,0.03,37.0833,0.1043,0.033,,motion_blur,1,33.04885508533934,0.03
00e9be89-00001625.jpg,00e9be89-00001630.jpg,orb,2000,2000,67,26,0.3881,0.0335,37.1343,0.1084,0.0221,,motion_blur,1,33.29964340628911,0.0335
00e9be89-00001630.jpg,00e9be89-00001635.jpg,orb,2000,2000,35,8,0.2286,0.0175,42.3714,0.0892,0.0467,,motion_blur,1,31.399189313443937,0.0175
00e9be89-00001635.jpg,00e9be89-00001640.jpg,orb,2000,2000,22,7,0.3182,0.011,43.0909,0.06,0.0216,,motion_blur,1,31.81916938396641,0.011
00e9be89-00001640.jpg,00e9be89-00001645.jpg,orb,2000,2000,11,5,0.4545,0.0055,42.5455,0.0771,0.0436,,motion_blur,1,33.31912088492776,0.0055
00e9be89-00001645.jpg,00e9be89-00001650.jpg,orb,2000,2000,37,8,0.2162,0.0185,34.1081,0.0621,0.0419,,motion_blur,1,31.7896985764632,0.0185
00e9be89-00001650.jpg,00e9be89-00001655.jpg,orb,2000,2000,13,4,0.3077,0.0065,39.3846,0.081,0.0201,,motion_blur,1,31.68515727279045,0.0065
00e9be89-00001655.jpg,00e9be89-00001665.jpg,orb,2000,2000,10,5,0.5,0.005,46.3,0.1125,0.0217,,motion_blur,1,31.990009740577303,0.005
00e9be89-00001665.jpg,00e9be89-00001670.jpg,orb,2000,2000,24,8,0.3333,0.012,39.75,0.0905,0.0303,,motion_blur,1,32.43774234270265,0.012
00e9be89-00001670.jpg,00e9be89-00001675.jpg,orb,2000,2000,33,9,0.2727,0.0165,39.1212,0.0993,0.0356,,motion_blur,1,32.85554298489875,0.0165
00e9be89-00001675.jpg,00e9be89-00001680.jpg,orb,2000,2000,24,14,0.5833,0.012,37.0417,0.0592,0.0559,,motion_blur,1,32.42882039925669,0.012
00e9be89-00001680.jpg,00e9be89-00001685.jpg,orb,2000,2000,17,5,0.2941,0.0085,37.5882,0.0428,0.0593,,motion_blur,1,31.221617151363613,0.0085
00e9be89-00001685.jpg,00e9be89-00001690.jpg,orb,2000,2000,23,6,0.2609,0.0115,40.0,0.0731,0.0568,,motion_blur,1,32.45865287489903,0.0115
00e9be89-00001690.jpg,00e9be89-00001695.jpg,orb,2000,2000,17,7,0.4118,0.0085,40.2941,0.0578,0.0443,,motion_blur,1,35.83494744969292,0.0085
00e9be89-00001695.jpg,00e9be89-00001705.jpg,orb,2000,2000,23,9,0.3913,0.0115,38.3478,0.083,0.058,,motion_blur,1,36.99095152426966,0.0115
00e9be89-00001705.jpg,00e9be89-00001710.jpg,orb,2000,2000,123,90,0.7317,0.0615,30.5041,0.0794,0.0279,,motion_blur,1,37.3827699318554,0.0615
00e9be89-00001710.jpg,00e9be89-00001715.jpg,orb,2000,2000,35,19,0.5429,0.0175,39.5714,0.1047,0.0561,,motion_blur,1,36.89666627825671,0.0175
00e9be89-00001715.jpg,00e9be89-00001720.jpg,orb,2000,1990,63,44,0.6984,0.0317,33.2381,0.0973,0.0272,,motion_blur,1,37.73251475087379,0.03156312625250501
00e9be89-00001720.jpg,00e9be89-00001725.jpg,orb,1990,2000,70,56,0.8,0.0352,31.2571,0.0823,0.0366,,motion_blur,1,38.68851634586542,0.03507014028056112
00e9be89-00001725.jpg,00e9be89-00001730.jpg,orb,2000,2000,80,61,0.7625,0.04,31.35,0.0726,0.0307,,motion_blur,1,37.8575471542844,0.04
00e9be89-00001730.jpg,00e9be89-00001740.jpg,orb,2000,2000,24,7,0.2917,0.012,36.5833,0.1154,0.0251,,motion_blur,1,37.26739108063607,0.012
00e9be89-00001740.jpg,00e9be89-00001745.jpg,orb,2000,2000,11,2,0.1818,0.0055,38.0,0.1016,0.0543,,motion_blur,1,33.01667752930278,0.0055
00e9be89-00001745.jpg,00e9be89-00001750.jpg,orb,2000,2000,11,4,0.3636,0.0055,44.1818,0.0923,0.0293,,motion_blur,1,31.63226070673722,0.0055
00e9be89-00001750.jpg,00e9be89-00001755.jpg,orb,2000,2000,59,43,0.7288,0.0295,34.5085,0.1352,0.0376,,motion_blur,1,34.967446628895374,0.0295
