augmentation,level,class,matched_recall,retention_ratio,mean_iou_matched,snr_db
low_light,1,bus,0.07692307692307693,0.1282051282051282,0.9286545682433218,9.757465039881794
low_light,1,car,0.5142369867556849,0.6781524844584442,0.8070322072550207,9.760013621158345
low_light,1,truck,0.19301994301994302,0.2571225071225071,0.9023267511517616,9.763534613917047
low_light,2,bus,0.0641025641025641,0.11538461538461539,0.9411382831172291,7.374996365071574
low_light,2,car,0.5122475051865246,0.670703483873915,0.8083572225140585,7.372739767068407
low_light,2,truck,0.19729344729344728,0.26994301994301995,0.9023673930936282,7.370805800559343
low_light,3,bus,0.0641025641025641,0.11538461538461539,0.9429847213288958,5.518557262707785
low_light,3,car,0.5102656402948695,0.6636663378072083,0.808894799009862,5.515471639321857
low_light,3,truck,0.19444444444444445,0.2606837606837607,0.9023777910799475,5.5129645853455465
low_light,4,bus,0.0641025641025641,0.11538461538461539,0.9441408598812698,4.068116718125375
low_light,4,car,0.5015239687301427,0.6418701554317067,0.8100399859895866,4.06510438285478
low_light,4,truck,0.19444444444444445,0.2606837606837607,0.9003223563526321,4.062724732617499
low_light,5,bus,0.08974358974358974,0.14102564102564102,0.9325857594255647,2.9134209199261876
low_light,5,car,0.4902115895004014,0.6144022134751853,0.8118368980958397,2.9105012138513024
low_light,5,truck,0.1680911680911681,0.2257834757834758,0.9025438638825736,2.911932670132291
low_light,6,bus,0.08974358974358974,0.14102564102564102,0.9355738986585723,1.961022178407892
low_light,6,car,0.4711859358504684,0.5866875024263662,0.8176252792078025,1.9587019009843505
low_light,6,truck,0.17236467236467237,0.23860398860398863,0.8966796917249598,1.9609724722406763
low_light,7,bus,0.038461538461538464,0.0641025641025641,0.9469571816898429,1.2045409708371273
low_light,7,car,0.43870629236837055,0.5261837724885992,0.8167487916875061,1.203006249649211
low_light,7,truck,0.1851851851851852,0.25142450142450146,0.8897062287751012,1.20463857317151
low_light,8,bus,0.02564102564102564,0.02564102564102564,0.9809692150881537,0.6154656726751586
low_light,8,car,0.3593482267373101,0.41671090216691603,0.8298973153087714,0.6148090755401359
low_light,8,truck,0.14245014245014245,0.20655270655270655,0.9035909938351778,0.6157311250082853
low_light,9,bus,0.0,0.0,,0.1861831899860404
low_light,9,car,0.09522542559869308,0.1029643865151843,0.8569956589473906,0.18592833516165339
low_light,9,truck,0.01282051282051282,0.01282051282051282,0.9265970199315355,0.18665217131306674
motion_blur,1,bus,0.08974358974358974,0.14102564102564102,0.9421375602437414,33.55848395410585
motion_blur,1,car,0.5229271703285138,0.699485135415145,0.807952733124175,33.95938538176414
motion_blur,1,truck,0.19729344729344728,0.27421652421652426,0.9054774890540381,34.029064815056515
motion_blur,2,bus,0.08974358974358974,0.14102564102564102,0.9400067484333344,28.63169254387677
motion_blur,2,car,0.5278491572446116,0.7123384673702061,0.805178517252741,29.098841965083743
motion_blur,2,truck,0.18874643874643873,0.25284900284900286,0.9174473301734112,29.14079698060635
motion_blur,3,bus,0.08974358974358974,0.11538461538461539,0.9353734371709734,25.1453977012601
motion_blur,3,car,0.5163887094666588,0.6958030952529112,0.8058265829541341,25.53849923026734
motion_blur,3,truck,0.1801994301994302,0.24430199430199429,0.9181487438852987,25.648491868271485
motion_blur,4,bus,0.08974358974358974,0.11538461538461539,0.9338783757007751,24.184004971173554
motion_blur,4,car,0.5091191593192531,0.6755732280513498,0.8058530083306604,24.575197298957942
motion_blur,4,truck,0.1801994301994302,0.23575498575498574,0.9140613402298845,24.812526038959632
motion_blur,5,bus,0.08974358974358974,0.11538461538461539,0.9351600696359692,22.883865481528808
motion_blur,5,car,0.47118768973278946,0.6119239507740486,0.8072340272604979,23.22251608319338
motion_blur,5,truck,0.19515669515669515,0.25071225071225073,0.8958926393727503,23.438580596285174
motion_blur,6,bus,0.0641025641025641,0.11538461538461539,0.9437244487418397,22.313525052040447
motion_blur,6,car,0.46177172678775125,0.573778059096397,0.8047949086051707,22.713297463520504
motion_blur,6,truck,0.18874643874643873,0.24430199430199429,0.8934679003523343,22.95197339374347
motion_blur,7,bus,0.0641025641025641,0.08974358974358974,0.9459863958121341,21.93160397595141
motion_blur,7,car,0.43985729344102625,0.5417858216934868,0.8071313226203986,22.27721202039509
motion_blur,7,truck,0.19729344729344728,0.27421652421652426,0.8909684187582171,22.5066739424475
motion_blur,8,bus,0.038461538461538464,0.0641025641025641,0.9446289459856146,21.26354873892336
motion_blur,8,car,0.4014489659975971,0.48674788753389175,0.8069830239601821,21.557179543692733
motion_blur,8,truck,0.1759259259259259,0.24430199430199429,0.8912465514645234,21.803348165604184
motion_blur,9,bus,0.0641025641025641,0.08974358974358974,0.9446723959655255,20.910635191866128
motion_blur,9,car,0.3885987555391337,0.46207232357985245,0.8012726376081747,21.252996542800002
motion_blur,9,truck,0.1623931623931624,0.23504273504273504,0.8897926649784426,21.49857681074108
rain,1,bus,0.05128205128205128,0.07692307692307693,0.9241980306200213,22.124796155409076
rain,1,car,0.509818327661618,0.6624343662256803,0.8051244939155568,22.12787140991231
rain,1,truck,0.1858974358974359,0.24572649572649571,0.8894873796027885,22.117311068913118
rain,2,bus,0.038461538461538464,0.0641025641025641,0.9257517415385079,16.66880084801996
rain,2,car,0.4945820585770092,0.6364062203473752,0.8042239342978486,16.804301430575908
rain,2,truck,0.20156695156695156,0.25284900284900286,0.8891002253540824,16.973806611659924
rain,3,bus,0.05128205128205128,0.07692307692307693,0.9341200737286467,12.674532904686469
rain,3,car,0.49064454347330744,0.6297262034597522,0.8047553712724546,12.74987654474308
rain,3,truck,0.19729344729344728,0.2613960113960114,0.8764062220995363,12.910399695654629
rain,4,bus,0.038461538461538464,0.038461538461538464,0.920882218622812,10.315204092361686
rain,4,car,0.4756511705084102,0.615862171597699,0.8057414874887607,10.330781920438035
