augmentation,level,matched_recall,retention_ratio,mean_iou_matched,snr_db
low_light,1,0.49269514567081946,0.647832222761247,0.8094457004765632,9.765931156464484
low_light,2,0.49047975793729737,0.6410359342744043,0.8108100743889531,7.376157648277407
low_light,3,0.4885754276721265,0.6339247752750998,0.8113914076021702,5.517609020540887
low_light,4,0.4804225788502369,0.6137838663430539,0.8123567606865847,4.066478920312453
low_light,5,0.46851054389420127,0.5856483743884959,0.8140028613096995,2.911404877166721
low_light,6,0.4505101889846415,0.5604907010378061,0.8199942941572016,1.959279837679367
low_light,7,0.4190849546914212,0.5043006738490329,0.8194787010744965,1.203349160647649
low_light,8,0.3422641806259072,0.39753407506488964,0.8321376299483964,0.6149964641305408
low_light,9,0.08970062912315248,0.09618075879959087,0.857836882746268,0.18601182460265733
motion_blur,1,0.5000294846073158,0.6668944868119723,0.8104371155203646,33.99017388313904
motion_blur,2,0.5044327921003098,0.6789206146416644,0.807877433183963,29.13068482816558
motion_blur,3,0.494234963243042,0.6632425609123043,0.8083125359069164,25.56789953496942
motion_blur,4,0.4872868675226107,0.6434055177676367,0.808362092475296,24.6033306296986
motion_blur,5,0.4522391200276767,0.5855832728063036,0.8096265483558179,23.24891333968386
motion_blur,6,0.4417446232103474,0.5474671360043677,0.8072676597811402,22.738928067940076
motion_blur,7,0.4212562984618237,0.5185044353617515,0.8096492816685159,22.302079140246686
motion_blur,8,0.3849861580382922,0.46579052328066756,0.8097792973177153,21.580608643065997
motion_blur,9,0.3724020679523722,0.44389522601631565,0.8044735965611813,21.275793067843335
rain,1,0.4868744408132118,0.6300881063811146,0.8071789390721567,22.135420201773762
rain,2,0.47322913092749264,0.6060911846740747,0.8062721803066187,16.82774920607779
rain,3,0.4696618009737699,0.6019426331820861,0.8069077522004612,12.77030826841743
rain,4,0.4555095975305084,0.587031653575356,0.8079982742682262,10.350340394561838
rain,5,0.4556849860906909,0.5839830111783334,0.8068049732110234,8.612072193686767
rain,6,0.4470515746084768,0.5746517348473371,0.8099842653793514,7.335079767060908
rain,7,0.43724198464966774,0.5491049375151305,0.8107182229984894,6.329743148440792
rain,8,0.43030624411420615,0.537157485857754,0.8081495907620442,5.518848173078417
rain,9,0.41573672977009174,0.5157055380397076,0.812299320347272,4.819752751039082
