image,augmentation,level,snr_db,class,ref_count,cand_count,matched_count,matched_recall,retention_ratio,mean_iou_matched
064aa0d6-f75ff4d5.jpg,motion_blur,1,37.82734525509089,car,15,11,9,0.6,0.7333333333333333,0.813901345496192
064aa0d6-f75ff4d5.jpg,motion_blur,1,37.82734525509089,all,15,11,9,0.6,0.7333333333333333,0.813901345496192
07de5062-ddddcbd7.jpg,motion_blur,1,39.96879986148418,car,7,4,3,0.42857142857142855,0.5714285714285714,0.9144626731472608
07de5062-ddddcbd7.jpg,motion_blur,1,39.96879986148418,truck,4,1,1,0.25,0.25,0.8862727181814481
07de5062-ddddcbd7.jpg,motion_blur,1,39.96879986148418,all,11,5,4,0.36363636363636365,0.45454545454545453,0.9074151844058076
088351d1-30833ddc.jpg,motion_blur,1,32.295454245698764,car,21,16,14,0.6666666666666666,0.7619047619047619,0.7893970061784057
088351d1-30833ddc.jpg,motion_blur,1,32.295454245698764,all,21,16,14,0.6666666666666666,0.7619047619047619,0.7893970061784057
08a49c01-675d3899.jpg,motion_blur,1,37.51381198857085,car,12,4,4,0.3333333333333333,0.3333333333333333,0.7599770855476271
08a49c01-675d3899.jpg,motion_blur,1,37.51381198857085,truck,1,0,0,0.0,0.0,
08a49c01-675d3899.jpg,motion_blur,1,37.51381198857085,all,13,4,4,0.3076923076923077,0.3076923076923077,0.7599770855476271
08d4285a-4a25b9b6.jpg,motion_blur,1,30.54624110243251,car,7,3,3,0.42857142857142855,0.42857142857142855,0.8352227567067066
08d4285a-4a25b9b6.jpg,motion_blur,1,30.54624110243251,all,7,3,3,0.42857142857142855,0.42857142857142855,0.8352227567067066
09ac21d6-eefa8ed0.jpg,motion_blur,1,27.139250583212558,car,1,1,1,1.0,1.0,0.8622110265804221
09ac21d6-eefa8ed0.jpg,motion_blur,1,27.139250583212558,all,1,1,1,1.0,1.0,0.8622110265804221
0a0a0b1a-7c39d841.jpg,motion_blur,1,38.93639096173193,car,6,4,3,0.5,0.6666666666666666,0.8918701065532325
0a0a0b1a-7c39d841.jpg,motion_blur,1,38.93639096173193,truck,1,1,0,0.0,1.0,
0a0a0b1a-7c39d841.jpg,motion_blur,1,38.93639096173193,all,7,5,3,0.42857142857142855,0.7142857142857143,0.8918701065532325
0af6039a-f3c91319.jpg,motion_blur,1,32.096847599415646,car,16,6,4,0.25,0.375,0.8529333511949357
0af6039a-f3c91319.jpg,motion_blur,1,32.096847599415646,all,16,6,4,0.25,0.375,0.8529333511949357
0b2f5d0d-8fddc1fc.jpg,motion_blur,1,31.099165857680898,car,10,6,3,0.3,0.6,0.8420959516911694
0b2f5d0d-8fddc1fc.jpg,motion_blur,1,31.099165857680898,truck,1,0,0,0.0,0.0,
0b2f5d0d-8fddc1fc.jpg,motion_blur,1,31.099165857680898,all,11,6,3,0.2727272727272727,0.5454545454545454,0.8420959516911694
0b4225f9-bfb10f88.jpg,motion_blur,1,33.81127296795802,car,17,8,6,0.35294117647058826,0.47058823529411764,0.8052388060346662
0b4225f9-bfb10f88.jpg,motion_blur,1,33.81127296795802,truck,1,1,1,1.0,1.0,0.8640950744476485
0b4225f9-bfb10f88.jpg,motion_blur,1,33.81127296795802,all,18,9,7,0.3888888888888889,0.5,0.8136468443793781
0ba08fe3-880ae118.jpg,motion_blur,1,34.455794150478674,car,12,10,7,0.5833333333333334,0.8333333333333334,0.7970226538739784
0ba08fe3-880ae118.jpg,motion_blur,1,34.455794150478674,truck,2,0,0,0.0,0.0,
0ba08fe3-880ae118.jpg,motion_blur,1,34.455794150478674,all,14,10,7,0.5,0.7142857142857143,0.7970226538739784
0c2f33b9-f94d69b5.jpg,motion_blur,1,34.51637469808373,car,22,12,9,0.4090909090909091,0.5454545454545454,0.7899186431149465
0c2f33b9-f94d69b5.jpg,motion_blur,1,34.51637469808373,truck,2,0,0,0.0,0.0,
0c2f33b9-f94d69b5.jpg,motion_blur,1,34.51637469808373,all,24,12,9,0.375,0.5,0.7899186431149465
0c984e6d-2b5d7ee4.jpg,motion_blur,1,36.07368349716209,car,11,7,7,0.6363636363636364,0.6363636363636364,0.8932832013071206
0c984e6d-2b5d7ee4.jpg,motion_blur,1,36.07368349716209,all,11,7,7,0.6363636363636364,0.6363636363636364,0.8932832013071206
0cb67a01-7cf1687e.jpg,motion_blur,1,33.086547600414,bus,1,0,0,0.0,0.0,
0cb67a01-7cf1687e.jpg,motion_blur,1,33.086547600414,car,5,3,2,0.4,0.6,0.9437109184711825
0cb67a01-7cf1687e.jpg,motion_blur,1,33.086547600414,all,6,3,2,0.3333333333333333,0.5,0.9437109184711825
0cc6f3e8-b4c9e348.jpg,motion_blur,1,30.75339546318586,bus,1,0,0,0.0,0.0,
0cc6f3e8-b4c9e348.jpg,motion_blur,1,30.75339546318586,car,12,9,7,0.5833333333333334,0.75,0.7744831528626952
0cc6f3e8-b4c9e348.jpg,motion_blur,1,30.75339546318586,all,13,9,7,0.5384615384615384,0.6923076923076923,0.7744831528626952
0cf398b3-ce65ab64.jpg,motion_blur,1,27.330201533201475,car,5,2,2,0.4,0.4,0.881946395261433
0cf398b3-ce65ab64.jpg,motion_blur,1,27.330201533201475,all,5,2,2,0.4,0.4,0.881946395261433
0d3ec56a-f4cead6f.jpg,motion_blur,1,34.196019178928715,car,6,2,1,0.16666666666666666,0.3333333333333333,0.7898494570397563
0d3ec56a-f4cead6f.jpg,motion_blur,1,34.196019178928715,all,6,2,1,0.16666666666666666,0.3333333333333333,0.7898494570397563
0d61234a-542010b2.jpg,motion_blur,1,35.8722439638963,car,14,5,5,0.35714285714285715,0.35714285714285715,0.8282370011531717
0d61234a-542010b2.jpg,motion_blur,1,35.8722439638963,all,14,5,5,0.35714285714285715,0.35714285714285715,0.8282370011531717
0e442b65-b17e0b50.jpg,motion_blur,1,35.77201479118404,car,11,7,7,0.6363636363636364,0.6363636363636364,0.8258942675775236
0e442b65-b17e0b50.jpg,motion_blur,1,35.77201479118404,truck,2,0,0,0.0,0.0,
0e442b65-b17e0b50.jpg,motion_blur,1,35.77201479118404,all,13,7,7,0.5384615384615384,0.5384615384615384,0.8258942675775236
0e5c7e92-0d9c60f0.jpg,motion_blur,1,32.029326888070706,bus,2,0,0,0.0,0.0,
0e5c7e92-0d9c60f0.jpg,motion_blur,1,32.029326888070706,car,3,2,0,0.0,0.6666666666666666,
0e5c7e92-0d9c60f0.jpg,motion_blur,1,32.029326888070706,all,5,2,0,0.0,0.4,
0f837def-9646c091.jpg,motion_blur,1,34.048089211564445,bus,1,0,0,0.0,0.0,
0f837def-9646c091.jpg,motion_blur,1,34.048089211564445,car,17,12,7,0.4117647058823529,0.7058823529411765,0.7525938426767427
0f837def-9646c091.jpg,motion_blur,1,34.048089211564445,truck,1,0,0,0.0,0.0,
0f837def-9646c091.jpg,motion_blur,1,34.048089211564445,all,19,12,7,0.3684210526315789,0.631578947368421,0.7525938426767427
0fba84f9-73b520ee.jpg,motion_blur,1,32.94523830806623,car,43,13,9,0.20930232558139536,0.3023255813953488,0.6958987910217445
0fba84f9-73b520ee.jpg,motion_blur,1,32.94523830806623,truck,0,1,0,,,
0fba84f9-73b520ee.jpg,motion_blur,1,32.94523830806623,all,43,14,9,0.20930232558139536,0.32558139534883723,0.6958987910217445
101a0964-930eae70.jpg,motion_blur,1,38.857908839730825,car,10,5,5,0.5,0.5,0.7355898923180596
101a0964-930eae70.jpg,motion_blur,1,38.857908839730825,all,10,5,5,0.5,0.5,0.7355898923180596
10389fe8-433c740c.jpg,motion_blur,1,29.41249097761794,car,6,3,2,0.3333333333333333,0.5,0.9059320580472989
10389fe8-433c740c.jpg,motion_blur,1,29.41249097761794,all,6,3,2,0.3333333333333333,0.5,0.9059320580472989
10453a95-40759ac3.jpg,motion_blur,1,33.021293271105954,bus,1,0,0,0.0,0.0,
10453a95-40759ac3.jpg,motion_blur,1,33.021293271105954,car,3,4,2,0.6666666666666666,1.3333333333333333,0.9093991394826877
10453a95-40759ac3.jpg,motion_blur,1,33.021293271105954,all,4,4,2,0.5,1.0,0.9093991394826877
1072195f-0a161ade.jpg,motion_blur,1,33.00447727540886,car,10,6,5,0.5,0.6,0.8761762193904769
