image,class,ref_count,cand_count,matched_count,matched_recall,retention_ratio,mean_iou_matched
0a0a0b1a-7c39d841.jpg,truck,1,1,0,0.0,1.0,
0a0a0b1a-7c39d841.jpg,all,7,5,3,0.42857142857142855,0.7142857142857143,0.8964165992189307
0af6039a-f3c91319.jpg,car,16,6,4,0.25,0.375,0.8441608450819531
0af6039a-f3c91319.jpg,all,16,6,4,0.25,0.375,0.8441608450819531
0b2f5d0d-8fddc1fc.jpg,car,10,6,3,0.3,0.6,0.8420959516911694
0b2f5d0d-8fddc1fc.jpg,truck,1,0,0,0.0,0.0,
0b2f5d0d-8fddc1fc.jpg,all,11,6,3,0.2727272727272727,0.5454545454545454,0.8420959516911694
0b4225f9-bfb10f88.jpg,car,17,8,6,0.35294117647058826,0.47058823529411764,0.8099938261257872
0b4225f9-bfb10f88.jpg,truck,1,1,1,1.0,1.0,0.849602147899478
0b4225f9-bfb10f88.jpg,all,18,9,7,0.3888888888888889,0.5,0.8156521578077428
0ba08fe3-880ae118.jpg,car,12,10,7,0.5833333333333334,0.8333333333333334,0.7993885646315159
0ba08fe3-880ae118.jpg,truck,2,0,0,0.0,0.0,
0ba08fe3-880ae118.jpg,all,14,10,7,0.5,0.7142857142857143,0.7993885646315159
0c2f33b9-f94d69b5.jpg,car,22,12,9,0.4090909090909091,0.5454545454545454,0.7833946171134306
0c2f33b9-f94d69b5.jpg,truck,2,0,0,0.0,0.0,
0c2f33b9-f94d69b5.jpg,all,24,12,9,0.375,0.5,0.7833946171134306
0c984e6d-2b5d7ee4.jpg,car,11,7,7,0.6363636363636364,0.6363636363636364,0.8957660871243306
0c984e6d-2b5d7ee4.jpg,all,11,7,7,0.6363636363636364,0.6363636363636364,0.8957660871243306
0cb67a01-7cf1687e.jpg,bus,1,0,0,0.0,0.0,
0cb67a01-7cf1687e.jpg,car,5,2,2,0.4,0.4,0.9459115099183211
0cb67a01-7cf1687e.jpg,all,6,2,2,0.3333333333333333,0.3333333333333333,0.9459115099183211
0cc6f3e8-b4c9e348.jpg,bus,1,0,0,0.0,0.0,
0cc6f3e8-b4c9e348.jpg,car,12,9,7,0.5833333333333334,0.75,0.777866120270806
0cc6f3e8-b4c9e348.jpg,all,13,9,7,0.5384615384615384,0.6923076923076923,0.777866120270806
0cf398b3-ce65ab64.jpg,car,5,2,2,0.4,0.4,0.8744105417144608
0cf398b3-ce65ab64.jpg,all,5,2,2,0.4,0.4,0.8744105417144608
0d3ec56a-f4cead6f.jpg,car,6,2,1,0.16666666666666666,0.3333333333333333,0.8231896722538408
0d3ec56a-f4cead6f.jpg,all,6,2,1,0.16666666666666666,0.3333333333333333,0.8231896722538408
0d61234a-542010b2.jpg,car,14,5,5,0.35714285714285715,0.35714285714285715,0.8316044404181762
