image,augmentation,level,snr_db,left_diff_px,right_diff_px,left_lost,right_lost
1a8992a7-da5a8510.jpg,motion_blur,1,37.942769040891065,4.0,9.0,False,False
1ac0178c-0b259360.jpg,motion_blur,1,38.21286573293505,7.0,35.0,False,False
1b30f76f-95aa8a06.jpg,motion_blur,1,35.618199342727195,3.0,19.0,False,False
1bda5a26-420ceea6.jpg,motion_blur,1,36.533839989522775,0.0,1.0,False,False
1bf7f3d2-15f95138.jpg,motion_blur,1,33.427215320785024,18.0,0.0,False,False
1c227a12-10e5552c.jpg,motion_blur,1,35.44415951521391,5.0,2.0,False,False
1c227a12-ec67af93.jpg,motion_blur,1,32.22122591584796,2.0,19.0,False,False
1c5e9657-2e2a2863.jpg,motion_blur,1,35.10189360128038,7.0,6.0,False,False
1cb2a89b-4594573e.jpg,motion_blur,1,32.77528090413865,22.0,5.0,False,False
1cf54809-c6daa5a9.jpg,motion_blur,1,27.370632400254085,18.0,118.0,False,False
1d5e05f8-5020f67d.jpg,motion_blur,1,29.872513072388355,13.0,5.0,False,False
1e57ae90-806bc767.jpg,motion_blur,1,36.695219489627945,16.0,8.0,False,False
1f959fdd-6ff63d34.jpg,motion_blur,1,31.55080022933237,18.0,27.0,False,False
1fa65acf-d43367bc.jpg,motion_blur,1,29.609779166409254,125.0,16.0,False,False
20cfadfa-47711496.jpg,motion_blur,1,35.43728060746335,22.0,27.0,False,False
20cfadfa-6f87fdc1.jpg,motion_blur,1,38.47050112599679,18.0,6.0,False,False
225a1858-0e3a4b04.jpg,motion_blur,1,32.82828402546218,42.0,13.0,False,False
22be2f14-59fbdca0.jpg,motion_blur,1,33.22401211485073,1.0,8.0,False,False
23333f35-0cbc3f0f.jpg,motion_blur,1,32.4674572667337,28.0,10.0,False,False
23df146f-64b50e4c.jpg,motion_blur,1,35.278629971126975,11.0,0.0,False,False
24392d7c-998011c2.jpg,motion_blur,1,33.76383345404567,26.0,116.0,False,False
250e7595-b14da270.jpg,motion_blur,1,29.142458032329586,2.0,3.0,False,False
26190b83-39ccb412.jpg,motion_blur,1,31.459940926575705,3.0,6.0,False,False
272d52f6-8aac36b3.jpg,motion_blur,1,29.94777892149361,13.0,8.0,False,False
2752681a-e813599a.jpg,motion_blur,1,33.58290102636235,18.0,31.0,False,False
27645526-f038b033.jpg,motion_blur,1,26.989204722591108,5.0,351.0,False,False
2773af6f-23e23a6b.jpg,motion_blur,1,31.55874166827875,3.0,5.0,False,False
28faf684-03ef4c6e.jpg,motion_blur,1,37.226655294101825,10.0,0.0,False,False
292720ee-d847ee69.jpg,motion_blur,1,41.66910148492575,1.0,7.0,False,False
2b54fe2d-c5b810e6.jpg,motion_blur,1,30.581218566971398,3.0,2.0,False,False
2b605c48-8dfe352b.jpg,motion_blur,1,32.051563373761276,35.0,27.0,False,False
2beccce2-354608e2.jpg,motion_blur,1,33.15899016219457,9.0,1.0,False,False
2c87e51d-aa7a8031.jpg,motion_blur,1,39.68642063374211,34.0,86.0,False,False
2ce0b449-e818dc97.jpg,motion_blur,1,36.27713288246476,7.0,,False,True
2cf976a2-479cd46b.jpg,motion_blur,1,29.4490317589484,40.0,5.0,False,False
2e2fae77-b7497ca0.jpg,motion_blur,1,27.35187160796468,4.0,6.0,False,False
2ead8042-2493c03f.jpg,motion_blur,1,33.83911333417507,0.0,1.0,False,False
2f1864c1-1a17d11c.jpg,motion_blur,1,29.083509418278002,13.0,13.0,False,False
2f879dc0-b09e4824.jpg,motion_blur,1,30.66022951933966,3.0,8.0,False,False
2fc9ad1e-ee4c9e43.jpg,motion_blur,1,36.657332863782564,5.0,28.0,False,False
3050b249-0ffbd6ec.jpg,motion_blur,1,36.59607845308211,10.0,7.0,False,False
314cc010-3eab5c90.jpg,motion_blur,1,35.69727260015635,28.0,0.0,False,False
31765c6b-90b0d612.jpg,motion_blur,1,33.24233224197231,1.0,0.0,False,False
31cf6eba-5c84c636.jpg,motion_blur,1,29.06741580905858,0.0,1.0,False,False
32de2244-122f1783.jpg,motion_blur,1,37.10050209973631,0.0,10.0,False,False
33420085-32996107.jpg,motion_blur,1,39.92751856958463,1.0,29.0,False,False
3430a5e6-00ec38d2.jpg,motion_blur,1,24.988004885242958,1.0,7.0,False,False
35eb46d0-8f7e28a0.jpg,motion_blur,1,38.494282659964554,29.0,5.0,False,False
3735fc3d-69d8b80c.jpg,motion_blur,1,33.049863199047124,1.0,3.0,False,False
3740cd4f-ff1d423d.jpg,motion_blur,1,32.65353200645957,3.0,5.0,False,False
375abba2-9f2ed56c.jpg,motion_blur,1,33.692156718234244,3.0,5.0,False,False
37723e55-31730cf5.jpg,motion_blur,1,30.71628412822126,23.0,5.0,False,False
380a3f8e-ba4f0def.jpg,motion_blur,1,36.5681848756297,6.0,13.0,False,False
385b0f61-1aee12ef.jpg,motion_blur,1,31.792120415998998,45.0,6.0,False,False
3865fea7-b4fe472d.jpg,motion_blur,1,33.63324445275218,88.0,12.0,False,False
38e561dd-8ea8ae2d.jpg,motion_blur,1,32.630932136004205,24.0,18.0,False,False
38ed8d8d-93c48de2.jpg,motion_blur,1,35.31572152310728,22.0,14.0,False,False
38ed8d8d-b1c230ef.jpg,motion_blur,1,35.323189983550236,37.0,5.0,False,False
38ed8d8d-fa50400c.jpg,motion_blur,1,35.83202421364072,14.0,3.0,False,False
3900ad8c-8834019f.jpg,motion_blur,1,34.52587651994261,,2.0,False,False
39ddb110-04604b9c.jpg,motion_blur,1,29.487160795335633,0.0,2.0,False,False
39fc6d1c-6155351d.jpg,motion_blur,1,36.66080995142967,,27.0,False,False
3a278d39-b92df256.jpg,motion_blur,1,32.98120246302599,4.0,1.0,False,False
3a3407a2-df8ea956.jpg,motion_blur,1,30.77111169710879,10.0,,False,True
3ad0c4a7-2a3d544e.jpg,motion_blur,1,31.2616250276886,15.0,8.0,False,False
3b1e1bc1-ee64e36e.jpg,motion_blur,1,27.725748563441684,0.0,1.0,False,False
3b44ef5a-c09e8479.jpg,motion_blur,1,31.349917326373497,6.0,10.0,False,False
3b563c5e-0102edaf.jpg,motion_blur,1,36.57884283387594,20.0,6.0,False,False
3b9716a6-d2566395.jpg,motion_blur,1,33.72282944002853,7.0,1.0,False,False
3c0bbdc2-79baffce.jpg,motion_blur,1,38.64743424147217,0.0,1.0,False,False
3c5752b6-9c0bdf98.jpg,motion_blur,1,28.425528310827968,3.0,1.0,False,False
3c95ae26-68abac3f.jpg,motion_blur,1,32.946907117542864,10.0,7.0,False,False
3e0f1745-a95a63ad.jpg,motion_blur,1,33.411389312567664,12.0,3.0,False,False
3f4eb6a6-9eee52f9.jpg,motion_blur,1,33.62795349356559,3.0,17.0,False,False
3f85a987-1ef4053b.jpg,motion_blur,1,34.75877891143551,0.0,106.0,False,False
3fe1feaa-10126fec.jpg,motion_blur,1,31.852847166415977,0.0,4.0,False,False
3ffdaa26-b394f6f8.jpg,motion_blur,1,29.923425213177307,,15.0,False,False
4027c10d-41d54e9b.jpg,motion_blur,1,36.73773168778308,25.0,3.0,False,False
428e99ea-4166e549.jpg,motion_blur,1,36.31229307263713,13.0,43.0,False,False
42e0dd11-74b81997.jpg,motion_blur,1,41.03265547012757,1.0,27.0,False,False
430395d1-931c959e.jpg,motion_blur,1,30.743152435105785,35.0,,False,False
43126e0d-495d04a5.jpg,motion_blur,1,37.99836134859338,5.0,2.0,False,False
43126e0d-cce96832.jpg,motion_blur,1,35.622614101827196,39.0,33.0,False,False
432f9e20-83a0d96c.jpg,motion_blur,1,32.63577973323078,2.0,6.0,False,False
43c7ed5c-b0690325.jpg,motion_blur,1,33.685837072982316,1.0,52.0,False,False
44cc16d9-d2e06fd6.jpg,motion_blur,1,29.771373660254923,1.0,27.0,False,False
45bafa98-1ee18a2f.jpg,motion_blur,1,35.40926490974951,4.0,31.0,False,False
46d048a1-8f7f385c.jpg,motion_blur,1,35.03268744638813,0.0,1.0,False,False
46f76df9-8bf77914.jpg,motion_blur,1,33.37668195038922,13.0,75.0,False,False
480263a0-5aad7ae9.jpg,motion_blur,1,26.759597045091837,2.0,15.0,False,False
488480d6-b94cf415.jpg,motion_blur,1,31.28403870294436,18.0,2.0,False,False
48ed707e-5062e4c3.jpg,motion_blur,1,32.56556195302292,1.0,25.0,False,False
4a289ff2-7da7feb6.jpg,motion_blur,1,33.69319190093394,,99.0,True,False
4a31f3e3-ac7ed780.jpg,motion_blur,1,34.06174688735522,3.0,4.0,False,False
4b2e1dde-65b54419.jpg,motion_blur,1,32.78060161017771,14.0,20.0,False,False
4d4a590b-4332c5ab.jpg,motion_blur,1,42.30681796068461,10.0,0.0,False,False
5069db50-52f5af30.jpg,motion_blur,1,42.48242460268229,48.0,9.0,False,False
50866f46-30d1f303.jpg,motion_blur,1,30.532083065052895,41.0,12.0,False,False
50b115d6-4b08a666.jpg,motion_blur,1,30.262818808083246,95.0,7.0,False,False
50b2e757-6c7d0f63.jpg,motion_blur,1,32.545928629791185,10.0,5.0,False,False
50d0fd05-8db58ebd.jpg,motion_blur,1,37.271500071594794,0.0,2.0,False,False
510671e9-603795e0.jpg,motion_blur,1,29.770395600014766,1.0,37.0,False,False
514a6d58-0790e0cd.jpg,motion_blur,1,35.09388301842107,4.0,30.0,False,False
5150bb50-300d52ce.jpg,motion_blur,1,33.71784966180026,2.0,10.0,False,False
52799e9e-8c8673f3.jpg,motion_blur,1,33.93734862676835,0.0,1.0,False,False
52bda346-fd8ac6e7.jpg,motion_blur,1,36.26040320728812,1.0,10.0,False,False
534418ba-ee05398f.jpg,motion_blur,1,35.09920486196191,0.0,384.0,False,False
54360b72-e00a3f70.jpg,motion_blur,1,30.49255705522139,180.0,2.0,False,False
554d7cd5-a32486dd.jpg,motion_blur,1,36.33381186326345,3.0,8.0,False,False
559fed19-7893646f.jpg,motion_blur,1,32.160488145686315,97.0,306.0,False,False
57165857-e4d4a47f.jpg,motion_blur,1,35.62818739066067,45.0,3.0,False,False
5795bfe7-a599384a.jpg,motion_blur,1,31.80526831619388,4.0,1.0,False,False
57ac74e2-e86131f1.jpg,motion_blur,1,35.041789428270135,13.0,16.0,False,False
57b495f2-6da6b1e5.jpg,motion_blur,1,41.48850583313764,22.0,47.0,False,False
585443c8-2621a6b1.jpg,motion_blur,1,35.77995180598269,9.0,53.0,False,False
5877b384-2545daf4.jpg,motion_blur,1,30.38214220914273,0.0,1.0,False,False
587bb1bf-1aa00fe5.jpg,motion_blur,1,35.479406283227966,17.0,7.0,False,False
5995c288-2d152172.jpg,motion_blur,1,31.641646543910355,0.0,,False,False
59cde7c7-344bffb1.jpg,motion_blur,1,35.56962093627125,1.0,,False,True
5a8f9b5d-1fdfd2d4.jpg,motion_blur,1,34.04397722262842,10.0,8.0,False,False
5ae83f9c-da990b49.jpg,motion_blur,1,31.837241497370318,9.0,7.0,False,False
5b2b4881-67a6cb87.jpg,motion_blur,1,34.34303426019496,7.0,0.0,False,False
5b2fd56a-37759b05.jpg,motion_blur,1,37.3175419507865,62.0,,False,True
5b4b0b07-2fb56b82.jpg,motion_blur,1,29.870036540356317,6.0,2.0,False,False
5bc44a50-c371c4d0.jpg,motion_blur,1,26.739490305795314,39.0,14.0,False,False
5c4004b7-bf3b7941.jpg,motion_blur,1,35.470084054785,22.0,1.0,False,False
5c534f5f-a76c7f4b.jpg,motion_blur,1,35.37072047439989,7.0,1.0,False,False
5c5dc708-35460444.jpg,motion_blur,1,32.68971513933725,43.0,0.0,False,False
5da6c6b6-76c54605.jpg,motion_blur,1,33.537971357261725,2.0,25.0,False,False
5dc5141c-5890b5b1.jpg,motion_blur,1,37.716339796981075,20.0,3.0,False,False
5dd831da-bd00cf03.jpg,motion_blur,1,31.465540671823334,11.0,7.0,False,False
5dfb063f-7bd23d5c.jpg,motion_blur,1,36.7714214102365,14.0,19.0,False,False
5e0b701e-d443d8c2.jpg,motion_blur,1,31.925560960449566,141.0,9.0,False,False
5e26f49d-0bc53c7e.jpg,motion_blur,1,40.23725520866002,11.0,14.0,False,False
5e26f49d-9271bf00.jpg,motion_blur,1,33.09523868587494,11.0,9.0,False,False
5e625ec3-7b4fc682.jpg,motion_blur,1,39.53633790774158,26.0,0.0,False,False
5f9387ff-330136ae.jpg,motion_blur,1,33.24546812447534,8.0,2.0,False,False
5fa17a25-88b8e6b9.jpg,motion_blur,1,38.555228717439086,1.0,8.0,False,False
5fa422e1-2d8dd765.jpg,motion_blur,1,33.376924411398434,3.0,40.0,False,False
5fb2a702-f56a339c.jpg,motion_blur,1,34.465516257025804,15.0,78.0,False,False
6011831b-0992e205.jpg,motion_blur,1,31.41433374177015,5.0,3.0,False,False
60137cc0-428b8f5b.jpg,motion_blur,1,29.316229971861357,4.0,8.0,False,False
604b5b3e-3c2e6b6b.jpg,motion_blur,1,31.87188748719015,0.0,7.0,False,False
6092f5a2-424550ba.jpg,motion_blur,1,34.910173693779875,30.0,0.0,False,False
60ba25dd-6c0df417.jpg,motion_blur,1,35.35321148463567,0.0,2.0,False,False
60c678e7-4813ae0f.jpg,motion_blur,1,28.33737810820213,31.0,,False,True
