augmentation,level,snr_db,survival_rate,mean_left_diff_px,mean_right_diff_px
low_light,1,9.765931156464484,0.8686868686868687,18.098591549295776,19.644599303135887
low_light,2,7.376157648277407,0.8333333333333334,19.344444444444445,21.505454545454544
low_light,3,5.517609020540887,0.7255892255892256,25.75103734439834,28.33061224489796
low_light,4,4.066478920312454,0.5521885521885522,25.353932584269664,25.5
low_light,5,2.911404877166721,0.234006734006734,35.265822784810126,28.294117647058822
low_light,6,1.9592798376793674,0.0016835016835016834,108.0,5.0
low_light,7,1.203349160647649,0.0,,
low_light,8,0.6149964641305407,0.0,,
low_light,9,0.18601182460265733,0.0,,
motion_blur,1,33.99017388313904,0.8973063973063973,16.15068493150685,18.80565371024735
motion_blur,2,29.130684828165577,0.8720538720538721,17.447183098591548,22.925795053003533
motion_blur,3,25.56789953496942,0.6835016835016835,28.83884297520661,30.838056680161944
motion_blur,4,24.6033306296986,0.5269360269360269,32.659574468085104,27.99
motion_blur,5,23.248913339683863,0.20707070707070707,36.73529411764706,41.75824175824176
motion_blur,6,22.738928067940076,0.11616161616161616,44.63157894736842,59.93333333333333
motion_blur,7,22.302079140246686,0.06734006734006734,38.333333333333336,20.62962962962963
motion_blur,8,21.580608643065997,0.018518518518518517,20.571428571428573,17.75
motion_blur,9,21.275793067843335,0.011784511784511785,43.2,83.4
rain,1,22.13542020177376,0.8922558922558923,17.22222222222222,18.12323943661972
rain,2,16.827749206077787,0.8872053872053872,19.60763888888889,19.4140350877193
rain,3,12.77030826841743,0.8552188552188552,24.54006968641115,25.978494623655912
rain,4,10.35034039456184,0.835016835016835,24.211469534050178,25.52158273381295
rain,5,8.612072193686767,0.7996632996632996,26.915750915750916,31.220588235294116
rain,6,7.335079767060907,0.7474747474747475,38.29657794676806,29.254826254826256
rain,7,6.329743148440792,0.7222222222222222,43.11406844106464,35.451219512195124
rain,8,5.518848173078417,0.6380471380471381,42.41025641025641,37.08583690987125
rain,9,4.819752751039081,0.5942760942760943,42.45662100456621,54.38565022421525
