image,augmentation,level,snr_db,ref_count,cand_count,matched_count,matched_recall,retention_ratio,mean_iou_matched
001b428f-059bac33.jpg,motion_blur,1,38.114481430073695,8,7,7,0.875,0.875,0.98601188407065
001c2a14-c7138401.jpg,motion_blur,1,24.039533599925548,3,3,3,1.0,1.0,0.9814687284127744
01a4933a-252e566a.jpg,motion_blur,1,38.22914583020811,1,1,1,1.0,1.0,0.9705882352941176
01a5b28a-c8fc55cc.jpg,motion_blur,1,30.07715816744785,2,1,1,0.5,0.5,0.9910714285714286
01ab0f6d-a46b4820.jpg,motion_blur,1,29.313575806251066,9,9,9,1.0,1.0,0.9810596321237879
01ab0f6d-b74b83d1.jpg,motion_blur,1,29.164047995691355,6,6,6,1.0,1.0,0.9865809828764459
01abd21f-2a974488.jpg,motion_blur,1,35.35814091823515,10,9,9,0.9,0.9,0.9831004405780336
01b08b19-a9fc3dcd.jpg,motion_blur,1,32.76757891408232,12,11,10,0.8333333333333334,0.9166666666666666,0.9488729347713603
01b29c03-4b348d76.jpg,motion_blur,1,32.424329536278194,4,4,4,1.0,1.0,0.9806197478991596
01b34172-f9ea5060.jpg,motion_blur,1,34.05330335940068,6,8,6,1.0,1.3333333333333333,0.9715927381706243
01c21ca3-faca9871.jpg,motion_blur,1,34.435614967660825,6,6,6,1.0,1.0,0.9359734701008287
01c231b4-1ebf841a.jpg,motion_blur,1,32.162738514640495,10,10,10,1.0,1.0,0.9753501039163595
01c3c73e-42795861.jpg,motion_blur,1,30.083315680966432,8,8,8,1.0,1.0,0.9736449805018277
01c4035b-bcaeb067.jpg,motion_blur,1,32.401422565601415,6,6,6,1.0,1.0,0.9850670188924341
01c5cd64-6e208afd.jpg,motion_blur,1,28.39431554009291,11,10,10,0.9090909090909091,0.9090909090909091,0.9863648832808201
01c6a5ce-7dba6e67.jpg,motion_blur,1,30.60636694449833,7,7,7,1.0,1.0,0.9507916100639001
01e38013-dab56c86.jpg,motion_blur,1,33.78702988415843,1,1,1,1.0,1.0,1.0
01e9b6bc-1c3597ee.jpg,motion_blur,1,33.89593862478415,11,11,11,1.0,1.0,0.9643531663092255
01fe2056-010af346.jpg,motion_blur,1,32.679681627915976,10,10,10,1.0,1.0,0.9676108249744688
0a0438c7-4b42456f.jpg,motion_blur,1,36.78505615055088,2,2,2,1.0,1.0,0.9880042969682502
0a096659-9faad1ad.jpg,motion_blur,1,33.56199195586612,2,2,2,1.0,1.0,0.9405553316662758
0a172b0e-136b7a63.jpg,motion_blur,1,27.602153439552172,12,11,11,0.9166666666666666,0.9166666666666666,0.9790338392998739
0a364fd8-81c63814.jpg,motion_blur,1,29.21380678639826,13,13,13,1.0,1.0,0.9493662371394875
0a43984a-db1eb6cb.jpg,motion_blur,1,31.995187073579633,5,5,5,1.0,1.0,0.9441277168554862
0a493f24-352f747e.jpg,motion_blur,1,28.674891893902984,3,3,3,1.0,1.0,0.9752784697197544
0a507f1c-3ee431e7.jpg,motion_blur,1,22.941128371762932,5,5,5,1.0,1.0,0.9942539826121916
0a514790-e4c8e3e3.jpg,motion_blur,1,28.99065542816702,2,2,2,1.0,1.0,0.9916692636135439
0a5922a3-a1b0d581.jpg,motion_blur,1,32.47157299123242,6,6,6,1.0,1.0,0.9754259608147543
0a71fa0a-5320a5e5.jpg,motion_blur,1,36.941135768742356,3,3,3,1.0,1.0,0.985784574468085
0a723d61-9885002e.jpg,motion_blur,1,29.899151862163855,0,0,0,,,
0a8368e0-41c6b3b3.jpg,motion_blur,1,29.705572416121157,1,1,1,1.0,1.0,0.9905229899337197
0a8610c6-593513f9.jpg,motion_blur,1,27.805525993291734,10,10,10,1.0,1.0,0.9726098365505866
0a909731-454401d8.jpg,motion_blur,1,35.05901928498481,1,1,1,1.0,1.0,0.9885596225600543
0a924ade-6766d702.jpg,motion_blur,1,35.55524060693447,2,2,2,1.0,1.0,0.9726532929598789
0a94788f-460bd0d2.jpg,motion_blur,1,27.641348412435043,7,8,7,1.0,1.1428571428571428,0.9440162624804744
0aa0297e-378da79c.jpg,motion_blur,1,31.267594872701924,0,0,0,,,
0aa47a41-ad75f648.jpg,motion_blur,1,30.786610315549538,3,3,3,1.0,1.0,0.9934653361619654
0aa4bc86-1e9b17cc.jpg,motion_blur,1,25.58067135619104,7,7,7,1.0,1.0,0.992827517742772
0aa751fe-30470c78.jpg,motion_blur,1,37.28636418361975,4,4,4,1.0,1.0,0.9911546109530059
0aa9197a-48cbd686.jpg,motion_blur,1,36.15642529030269,8,8,8,1.0,1.0,0.9655977467705807
0aab648b-ea86909c.jpg,motion_blur,1,33.635758378734735,4,4,4,1.0,1.0,0.985728584016892
0ab179b7-73f22df4.jpg,motion_blur,1,30.0057234265136,12,12,12,1.0,1.0,0.9838042714250889
0ab1b9e8-aefcb8d2.jpg,motion_blur,1,29.717511429542665,10,10,10,1.0,1.0,0.9592361351549454
0ab72d5d-af77406b.jpg,motion_blur,1,36.18361460061906,17,16,16,0.9411764705882353,0.9411764705882353,0.9661391336165627
0aba7df1-d488bc00.jpg,motion_blur,1,28.849315154094448,9,9,9,1.0,1.0,0.9748712755124576
0abeea78-647aef5c.jpg,motion_blur,1,38.71848376789313,2,2,2,1.0,1.0,0.9956896551724138
0ac20953-2830f7c0.jpg,motion_blur,1,33.70114668319499,13,14,13,1.0,1.0769230769230769,0.976495702342549
0ac3cbf4-73c76d25.jpg,motion_blur,1,38.83389263824679,4,4,4,1.0,1.0,0.9894500846023688
0ac3cbf4-a764bdbc.jpg,motion_blur,1,22.64871221952933,2,4,2,1.0,2.0,0.9986666666666666
0acc0c71-fb702dac.jpg,motion_blur,1,28.67684829243061,13,14,13,1.0,1.0769230769230769,0.9730017978826133
0accdaac-8ac5a6ca.jpg,motion_blur,1,27.671298579271962,5,5,5,1.0,1.0,0.9542443741344139
0accdaac-c56ee5d7.jpg,motion_blur,1,29.552495546917704,3,3,3,1.0,1.0,0.9874419761273209
0ace96c3-48481887.jpg,motion_blur,1,30.897894805718828,10,11,10,1.0,1.1,0.9862191900116267
0ad023de-a7164b14.jpg,motion_blur,1,35.256032281293415,2,2,2,1.0,1.0,0.9861111111111112
0ad051b9-9a513e8a.jpg,motion_blur,1,26.96056232714295,6,6,6,1.0,1.0,0.9884386060282487
0ad5691b-3bf88466.jpg,motion_blur,1,37.987698413737164,4,4,4,1.0,1.0,0.98828125
0ade56f2-a8ac9645.jpg,motion_blur,1,32.78396893218868,6,6,6,1.0,1.0,0.971303980188681
0ae24ffb-691516ec.jpg,motion_blur,1,39.83480151379063,3,3,3,1.0,1.0,0.9939255779771613
0ae2993b-3a6bea4d.jpg,motion_blur,1,34.68741383530548,7,7,7,1.0,1.0,0.9837900021354452
0ae50799-6c1ef2e2.jpg,motion_blur,1,31.616045033230616,10,10,10,1.0,1.0,0.9738866140571627
0aeb534c-57a685bd.jpg,motion_blur,1,32.904573974708896,6,7,6,1.0,1.1666666666666667,0.9761878689206008
0af06324-3f5aac20.jpg,motion_blur,1,31.175393417330817,2,2,2,1.0,1.0,0.9641167692902358
0af801e9-aa8d36ab.jpg,motion_blur,1,31.82149587842374,9,10,9,1.0,1.1111111111111112,0.9864718545874069
0afb7706-1fdde46a.jpg,motion_blur,1,28.937428220031617,6,5,5,0.8333333333333334,0.8333333333333334,0.9816744942678666
0b090671-2518c4cc.jpg,motion_blur,1,27.89470283414309,6,6,6,1.0,1.0,0.9845721357834297
0b099136-bc2d1314.jpg,motion_blur,1,36.56795972688409,3,2,2,0.6666666666666666,0.6666666666666666,0.9393903880528167
0b16507a-49b0aca9.jpg,motion_blur,1,34.88440498951554,1,1,1,1.0,1.0,1.0
0b18fb5a-b0cf4646.jpg,motion_blur,1,32.81122028612377,6,6,6,1.0,1.0,0.9929571543556664
0b1afd00-1f158b3e.jpg,motion_blur,1,33.70293133490847,12,11,11,0.9166666666666666,0.9166666666666666,0.979739089168739
0b1b468d-607d678f.jpg,motion_blur,1,31.935319034803133,17,17,17,1.0,1.0,0.951795745092614
0b27a68a-5b093bbf.jpg,motion_blur,1,35.24656498781118,15,17,14,0.9333333333333333,1.1333333333333333,0.963420637899857
0b2867ef-a6ca437b.jpg,motion_blur,1,27.40884043601988,5,5,5,1.0,1.0,0.9790184190687956
0b2f5d0d-8fddc1fc.jpg,motion_blur,1,31.099165857680898,5,5,5,1.0,1.0,0.9835254071036628
