img1,img2,method,n_keypoints_img1,n_keypoints_img2,n_good_matches,n_inliers,inlier_ratio,match_ratio,avg_match_distance,detect_time_sec,match_time_sec,visualization_path
00e9be89-00001070.jpg,00e9be89-00001075.jpg,orb,2000,2000,59,37,0.6271,0.0295,37.5424,0.0645,0.0472,
00e9be89-00001075.jpg,00e9be89-00001080.jpg,orb,2000,2000,51,25,0.4902,0.0255,38.098,0.0608,0.0255,
00e9be89-00001080.jpg,00e9be89-00001090.jpg,orb,2000,2000,37,18,0.4865,0.0185,39.6486,0.0296,0.0457,
00e9be89-00001090.jpg,00e9be89-00001095.jpg,orb,2000,2000,63,46,0.7302,0.0315,34.6825,0.031,0.0262,
00e9be89-00001095.jpg,00e9be89-00001100.jpg,orb,2000,2000,66,39,0.5909,0.033,38.0,0.0326,0.0408,
00e9be89-00001100.jpg,00e9be89-00001105.jpg,orb,2000,2000,30,13,0.4333,0.015,41.6,0.03,0.0221,
00e9be89-00001105.jpg,00e9be89-00001115.jpg,orb,2000,2000,30,10,0.3333,0.015,46.5667,0.029,0.0533,
00e9be89-00001115.jpg,00e9be89-00001125.jpg,orb,2000,2000,21,3,0.1429,0.0105,44.0476,0.092,0.0417,
00e9be89-00001125.jpg,00e9be89-00001130.jpg,orb,2000,2000,47,26,0.5532,0.0235,34.0426,0.0632,0.0509,
00e9be89-00001130.jpg,00e9be89-00001135.jpg,orb,2000,2000,67,41,0.6119,0.0335,36.0149,0.0568,0.0601,
00e9be89-00001135.jpg,00e9be89-00001140.jpg,orb,2000,2000,74,57,0.7703,0.037,34.3378,0.0608,0.0514,
00e9be89-00001140.jpg,00e9be89-00001150.jpg,orb,2000,2000,61,41,0.6721,0.0305,34.3934,0.0441,0.0261,
00e9be89-00001150.jpg,00e9be89-00001155.jpg,orb,2000,2000,101,74,0.7327,0.0505,33.3663,0.0612,0.0245,
00e9be89-00001155.jpg,00e9be89-00001160.jpg,orb,2000,2000,92,56,0.6087,0.046,31.1304,0.0574,0.047,
00e9be89-00001160.jpg,00e9be89-00001165.jpg,orb,2000,2000,24,16,0.6667,0.012,36.5833,0.022,0.0256,
00e9be89-00001165.jpg,00e9be89-00001170.jpg,orb,2000,2000,54,31,0.5741,0.027,37.6481,0.0265,0.0215,
00e9be89-00001170.jpg,00e9be89-00001175.jpg,orb,2000,2000,29,16,0.5517,0.0145,37.2414,0.0281,0.0205,
00e9be89-00001175.jpg,00e9be89-00001180.jpg,orb,2000,2000,74,52,0.7027,0.037,37.2162,0.0263,0.0247,
00e9be89-00001180.jpg,00e9be89-00001185.jpg,orb,2000,2000,33,15,0.4545,0.0165,40.7273,0.035,0.0252,
00e9be89-00001185.jpg,00e9be89-00001190.jpg,orb,2000,2000,13,5,0.3846,0.0065,46.6154,0.0852,0.0335,
00e9be89-00001190.jpg,00e9be89-00001195.jpg,orb,2000,2000,13,7,0.5385,0.0065,45.0769,0.0662,0.0285,
00e9be89-00001195.jpg,00e9be89-00001200.jpg,orb,2000,1987,10,5,0.5,0.005,40.6,0.0854,0.0784,
00e9be89-00001200.jpg,00e9be89-00001205.jpg,orb,1987,1996,26,9,0.3462,0.0131,39.2692,0.066,0.0476,
00e9be89-00001205.jpg,00e9be89-00001210.jpg,orb,1996,2000,26,3,0.1154,0.013,40.6923,0.0614,0.023,
00e9be89-00001210.jpg,00e9be89-00001215.jpg,orb,2000,2000,40,28,0.7,0.02,38.85,0.055,0.0487,
00e9be89-00001215.jpg,00e9be89-00001220.jpg,orb,2000,2000,17,6,0.3529,0.0085,43.8824,0.07,0.0551,
00e9be89-00001220.jpg,00e9be89-00001225.jpg,orb,2000,2000,21,7,0.3333,0.0105,43.619,0.0658,0.0218,
00e9be89-00001225.jpg,00e9be89-00001230.jpg,orb,2000,2000,19,7,0.3684,0.0095,40.1579,0.0624,0.0526,
00e9be89-00001230.jpg,00e9be89-00001240.jpg,orb,2000,1819,70,56,0.8,0.0385,34.8571,0.0579,0.0504,
00e9be89-00001240.jpg,00e9be89-00001245.jpg,orb,1819,2000,27,14,0.5185,0.0148,39.3704,0.0514,0.0227,
00e9be89-00001245.jpg,00e9be89-00001250.jpg,orb,2000,2000,19,5,0.2632,0.0095,45.7895,0.0643,0.0539,
00e9be89-00001250.jpg,00e9be89-00001255.jpg,orb,2000,2000,40,23,0.575,0.02,35.7,0.0263,0.0238,
00e9be89-00001255.jpg,00e9be89-00001260.jpg,orb,2000,2000,36,27,0.75,0.018,36.3333,0.0388,0.0491,
00e9be89-00001260.jpg,00e9be89-00001265.jpg,orb,2000,2000,34,20,0.5882,0.017,37.0588,0.0698,0.0533,
00e9be89-00001265.jpg,00e9be89-00001270.jpg,orb,2000,2000,9,4,0.4444,0.0045,48.3333,0.0698,0.0507,
00e9be89-00001270.jpg,00e9be89-00001275.jpg,orb,2000,2000,7,7,1.0,0.0035,35.4286,0.0343,0.0219,
00e9be89-00001275.jpg,00e9be89-00001280.jpg,orb,2000,2000,9,4,0.4444,0.0045,47.0,0.0717,0.052,
00e9be89-00001280.jpg,00e9be89-00001285.jpg,orb,2000,2000,12,5,0.4167,0.006,40.25,0.0738,0.0462,
00e9be89-00001285.jpg,00e9be89-00001290.jpg,orb,2000,2000,16,5,0.3125,0.008,45.125,0.0335,0.0449,
00e9be89-00001290.jpg,00e9be89-00001295.jpg,orb,2000,2000,14,5,0.3571,0.007,43.3571,0.0411,0.0474,
00e9be89-00001295.jpg,00e9be89-00001305.jpg,orb,2000,2000,16,5,0.3125,0.008,43.5625,0.0674,0.0227,
00e9be89-00001305.jpg,00e9be89-00001310.jpg,orb,2000,2000,11,6,0.5455,0.0055,44.1818,0.0366,0.051,
00e9be89-00001310.jpg,00e9be89-00001315.jpg,orb,2000,2000,3,0,0.0,0.0015,47.0,0.0344,0.0458,
00e9be89-00001315.jpg,00e9be89-00001325.jpg,orb,2000,2000,30,8,0.2667,0.015,34.1333,0.0321,0.0474,
00e9be89-00001325.jpg,00e9be89-00001330.jpg,orb,2000,2000,28,9,0.3214,0.014,32.3571,0.0316,0.0439,
00e9be89-00001330.jpg,00e9be89-00001335.jpg,orb,2000,2000,13,5,0.3846,0.0065,37.7692,0.0206,0.0533,
00e9be89-00001335.jpg,00e9be89-00001340.jpg,orb,2000,2000,23,9,0.3913,0.0115,38.8696,0.0285,0.0201,
00e9be89-00001340.jpg,00e9be89-00001345.jpg,orb,2000,2000,8,6,0.75,0.004,39.875,0.0355,0.0542,
00e9be89-00001345.jpg,00e9be89-00001350.jpg,orb,2000,2000,16,8,0.5,0.008,43.75,0.0706,0.0227,
00e9be89-00001350.jpg,00e9be89-00001355.jpg,orb,2000,2000,21,12,0.5714,0.0105,36.7143,0.0381,0.0511,
00e9be89-00001355.jpg,00e9be89-00001360.jpg,orb,2000,2000,27,8,0.2963,0.0135,43.1852,0.0602,0.0574,
00e9be89-00001360.jpg,00e9be89-00001365.jpg,orb,2000,2000,29,10,0.3448,0.0145,38.9655,0.0341,0.0515,
00e9be89-00001365.jpg,00e9be89-00001370.jpg,orb,2000,2000,50,27,0.54,0.025,32.14,0.0308,0.0476,
00e9be89-00001370.jpg,00e9be89-00001375.jpg,orb,2000,2000,247,119,0.4818,0.1235,33.3806,0.0581,0.0273,
00e9be89-00001375.jpg,00e9be89-00001380.jpg,orb,2000,2000,340,150,0.4412,0.17,30.8735,0.0321,0.0477,
00e9be89-00001380.jpg,00e9be89-00001385.jpg,orb,2000,2000,296,160,0.5405,0.148,30.4831,0.03,0.0504,
00e9be89-00001385.jpg,00e9be89-00001390.jpg,orb,2000,2000,62,35,0.5645,0.031,31.4839,0.0327,0.0552,
00e9be89-00001390.jpg,00e9be89-00001395.jpg,orb,2000,2000,88,50,0.5682,0.044,30.6477,0.0544,0.0555,
00e9be89-00001395.jpg,00e9be89-00001400.jpg,orb,2000,2000,141,67,0.4752,0.0705,31.2128,0.0385,0.0819,
00e9be89-00001400.jpg,00e9be89-00001405.jpg,orb,2000,2000,134,61,0.4552,0.067,30.4776,0.0623,0.0501,
00e9be89-00001405.jpg,00e9be89-00001410.jpg,orb,2000,2000,121,53,0.438,0.0605,29.3884,0.0343,0.0521,
00e9be89-00001410.jpg,00e9be89-00001415.jpg,orb,2000,2000,226,68,0.3009,0.113,31.0177,0.0807,0.0655,
00e9be89-00001415.jpg,00e9be89-00001420.jpg,orb,2000,2000,116,40,0.3448,0.058,31.6983,0.0336,0.0531,
00e9be89-00001420.jpg,00e9be89-00001425.jpg,orb,2000,2000,109,49,0.4495,0.0545,29.055,0.0626,0.0522,
00e9be89-00001425.jpg,00e9be89-00001430.jpg,orb,2000,2000,161,83,0.5155,0.0805,30.7578,0.0533,0.0502,
00e9be89-00001430.jpg,00e9be89-00001440.jpg,orb,2000,2000,32,12,0.375,0.016,38.5938,0.0306,0.0278,
00e9be89-00001440.jpg,00e9be89-00001445.jpg,orb,2000,2000,106,41,0.3868,0.053,31.1887,0.0355,0.0214,
00e9be89-00001445.jpg,00e9be89-00001450.jpg,orb,2000,2000,41,11,0.2683,0.0205,38.9512,0.0398,0.0221,
00e9be89-00001450.jpg,00e9be89-00001455.jpg,orb,2000,2000,74,48,0.6486,0.037,35.7027,0.0277,0.0513,
00e9be89-00001455.jpg,00e9be89-00001460.jpg,orb,2000,2000,185,124,0.6703,0.0925,33.7459,0.0609,0.053,
00e9be89-00001460.jpg,00e9be89-00001465.jpg,orb,2000,2000,189,169,0.8942,0.0945,27.6138,0.0629,0.0549,
00e9be89-00001465.jpg,00e9be89-00001470.jpg,orb,2000,2000,20,5,0.25,0.01,40.6,0.0625,0.0572,
00e9be89-00001470.jpg,00e9be89-00001475.jpg,orb,2000,2000,110,55,0.5,0.055,32.8364,0.082,0.1317,
