augmentation,level,matched_recall,snr_db
low_light,1,0.34525567984607497,9.765931156464484
low_light,2,0.3456519348773971,7.376157648277407
low_light,3,0.340747595301062,5.517609020540887
low_light,4,0.32955013754276,4.066478920312453
low_light,5,0.3087966463762731,2.911404877166721
low_light,6,0.2848926334226373,1.959279837679367
low_light,7,0.2402753619311723,1.203349160647649
low_light,8,0.15424587428539,0.6149964641305408
low_light,9,0.011459304776985079,0.18601182460265728
motion_blur,1,0.3721414121854109,33.99017388313904
motion_blur,2,0.364254497934552,29.13068482816558
motion_blur,3,0.32964755006165786,25.56789953496942
motion_blur,4,0.3008451651599136,24.6033306296986
motion_blur,5,0.24540637947861382,23.24891333968386
motion_blur,6,0.22096797211398864,22.738928067940076
motion_blur,7,0.19718158091297164,22.302079140246686
motion_blur,8,0.15574034724643515,21.580608643065997
motion_blur,9,0.1448926538616016,21.275793067843335
rain,1,0.33713863196944227,22.135420201773762
rain,2,0.2969668256515486,16.82774920607779
rain,3,0.27692145792526107,12.77030826841743
rain,4,0.25967179400685575,10.350340394561838
rain,5,0.2508933721827208,8.612072193686767
rain,6,0.24525096634200788,7.335079767060908
rain,7,0.231983359517707,6.329743148440792
rain,8,0.22991749887190063,5.518848173078417
rain,9,0.21532587579926712,4.819752751039082
