image,class,ref_count,cand_count,matched_count,matched_recall,retention_ratio,mean_iou_matched
0049e5b8-725e21a0.jpg,car,10,5,4,0.4,0.5,0.8814623726433745
0049e5b8-725e21a0.jpg,truck,0,1,0,,,
0049e5b8-725e21a0.jpg,all,10,6,4,0.4,0.6,0.8814623726433745
0081e27b-17bf4a9e.jpg,car,19,4,3,0.15789473684210525,0.21052631578947367,0.8559705473546234
0081e27b-17bf4a9e.jpg,truck,1,0,0,0.0,0.0,
0081e27b-17bf4a9e.jpg,all,20,4,3,0.15,0.2,0.8559705473546234
00beeb02-50440dcd.jpg,car,3,0,0,0.0,0.0,
00beeb02-50440dcd.jpg,all,3,0,0,0.0,0.0,
00d4b6b7-7d0a60bf.jpg,car,8,2,1,0.125,0.25,0.9856438368075856
00d4b6b7-7d0a60bf.jpg,all,8,2,1,0.125,0.25,0.9856438368075856
01118704-2d838d7f.jpg,bus,1,0,0,0.0,0.0,
01118704-2d838d7f.jpg,car,3,3,3,1.0,1.0,0.8141780567499702
01118704-2d838d7f.jpg,all,4,3,3,0.75,0.75,0.8141780567499702
0115917e-14907a6a.jpg,car,14,7,7,0.5,0.5,0.8001109407146137
0115917e-14907a6a.jpg,truck,3,2,1,0.3333333333333333,0.6666666666666666,0.8422902572127237
0115917e-14907a6a.jpg,all,17,9,8,0.47058823529411764,0.5294117647058824,0.8053833552768774
02188a44-65ad27f3.jpg,car,11,10,10,0.9090909090909091,0.9090909090909091,0.8551450331716699
02188a44-65ad27f3.jpg,all,11,10,10,0.9090909090909091,0.9090909090909091,0.8551450331716699
02494b7b-079febf8.jpg,car,4,2,1,0.25,0.5,0.7556803913903434
02494b7b-079febf8.jpg,all,4,2,1,0.25,0.5,0.7556803913903434
029ffd50-dc944dba.jpg,car,9,1,1,0.1111111111111111,0.1111111111111111,0.780464903998057
029ffd50-dc944dba.jpg,all,9,1,1,0.1111111111111111,0.1111111111111111,0.780464903998057
0464a98b-860229d5.jpg,car,9,3,3,0.3333333333333333,0.3333333333333333,0.8994959533299597
0464a98b-860229d5.jpg,all,9,3,3,0.3333333333333333,0.3333333333333333,0.8994959533299597
051aadb7-51aad566.jpg,bus,1,0,0,0.0,0.0,
051aadb7-51aad566.jpg,car,5,0,0,0.0,0.0,
051aadb7-51aad566.jpg,truck,3,2,1,0.3333333333333333,0.6666666666666666,0.9370270123837255
051aadb7-51aad566.jpg,all,9,2,1,0.1111111111111111,0.2222222222222222,0.9370270123837255
051aadb7-e953bc4d.jpg,car,12,4,3,0.25,0.3333333333333333,0.684397093107305
051aadb7-e953bc4d.jpg,truck,4,1,1,0.25,0.25,0.9624678946664226
051aadb7-e953bc4d.jpg,all,16,5,4,0.25,0.3125,0.7539147934970845
05743a9b-747658e7.jpg,bus,0,1,0,,,
05743a9b-747658e7.jpg,car,11,2,2,0.18181818181818182,0.18181818181818182,0.7748104691245579
05743a9b-747658e7.jpg,truck,1,1,1,1.0,1.0,0.6388263981254997
05743a9b-747658e7.jpg,all,12,4,3,0.25,0.3333333333333333,0.7294824454582051
057af272-6f700aef.jpg,car,9,2,1,0.1111111111111111,0.2222222222222222,0.78202671730787
057af272-6f700aef.jpg,all,9,2,1,0.1111111111111111,0.2222222222222222,0.78202671730787
05d62296-30c620d5.jpg,car,7,7,5,0.7142857142857143,1.0,0.8513561602923589
05d62296-30c620d5.jpg,all,7,7,5,0.7142857142857143,1.0,0.8513561602923589
05e5a68e-f0e05a42.jpg,car,29,10,8,0.27586206896551724,0.3448275862068966,0.8333217578268373
05e5a68e-f0e05a42.jpg,truck,2,1,0,0.0,0.5,
05e5a68e-f0e05a42.jpg,all,31,11,8,0.25806451612903225,0.3548387096774194,0.8333217578268373
05fa6494-8f436d04.jpg,car,12,3,3,0.25,0.25,0.9140099889415177
05fa6494-8f436d04.jpg,truck,0,1,0,,,
05fa6494-8f436d04.jpg,all,12,4,3,0.25,0.3333333333333333,0.9140099889415177
060039d9-5218402b.jpg,car,4,0,0,0.0,0.0,
060039d9-5218402b.jpg,all,4,0,0,0.0,0.0,
064aa0d6-f75ff4d5.jpg,car,15,6,6,0.4,0.4,0.8508502556112005
064aa0d6-f75ff4d5.jpg,truck,0,1,0,,,
064aa0d6-f75ff4d5.jpg,all,15,7,6,0.4,0.4666666666666667,0.8508502556112005
07de5062-ddddcbd7.jpg,car,7,3,3,0.42857142857142855,0.42857142857142855,0.8727617836478053
07de5062-ddddcbd7.jpg,truck,4,1,1,0.25,0.25,0.8885899062035028
07de5062-ddddcbd7.jpg,all,11,4,4,0.36363636363636365,0.36363636363636365,0.8767188142867297
088351d1-30833ddc.jpg,car,21,13,11,0.5238095238095238,0.6190476190476191,0.7554187815578243
088351d1-30833ddc.jpg,all,21,13,11,0.5238095238095238,0.6190476190476191,0.7554187815578243
08a49c01-675d3899.jpg,car,12,0,0,0.0,0.0,
08a49c01-675d3899.jpg,truck,1,0,0,0.0,0.0,
08a49c01-675d3899.jpg,all,13,0,0,0.0,0.0,
08d4285a-4a25b9b6.jpg,car,7,2,2,0.2857142857142857,0.2857142857142857,0.6748697925990044
08d4285a-4a25b9b6.jpg,truck,0,1,0,,,
08d4285a-4a25b9b6.jpg,all,7,3,2,0.2857142857142857,0.42857142857142855,0.6748697925990044
09ac21d6-eefa8ed0.jpg,car,1,1,1,1.0,1.0,0.8343977676584731
09ac21d6-eefa8ed0.jpg,all,1,1,1,1.0,1.0,0.8343977676584731
0a0a0b1a-7c39d841.jpg,car,6,3,2,0.3333333333333333,0.5,0.9031930305922555
0a0a0b1a-7c39d841.jpg,truck,1,2,0,0.0,2.0,
0a0a0b1a-7c39d841.jpg,all,7,5,2,0.2857142857142857,0.7142857142857143,0.9031930305922555
0af6039a-f3c91319.jpg,bus,0,1,0,,,
0af6039a-f3c91319.jpg,car,16,2,2,0.125,0.125,0.8137943567006569
0af6039a-f3c91319.jpg,all,16,3,2,0.125,0.1875,0.8137943567006569
0b2f5d0d-8fddc1fc.jpg,car,10,4,3,0.3,0.4,0.8902774215504355
0b2f5d0d-8fddc1fc.jpg,truck,1,1,1,1.0,1.0,0.8261414221670198
0b2f5d0d-8fddc1fc.jpg,all,11,5,4,0.36363636363636365,0.45454545454545453,0.8742434217045816
0b4225f9-bfb10f88.jpg,bus,0,1,0,,,
0b4225f9-bfb10f88.jpg,car,17,5,3,0.17647058823529413,0.29411764705882354,0.80874576492912
0b4225f9-bfb10f88.jpg,truck,1,0,0,0.0,0.0,
0b4225f9-bfb10f88.jpg,all,18,6,3,0.16666666666666666,0.3333333333333333,0.80874576492912
0ba08fe3-880ae118.jpg,car,12,5,3,0.25,0.4166666666666667,0.8894079430516522
0ba08fe3-880ae118.jpg,truck,2,1,0,0.0,0.5,
0ba08fe3-880ae118.jpg,all,14,6,3,0.21428571428571427,0.42857142857142855,0.8894079430516522
0c2f33b9-f94d69b5.jpg,car,22,9,7,0.3181818181818182,0.4090909090909091,0.815055365641825
0c2f33b9-f94d69b5.jpg,truck,2,1,1,0.5,0.5,0.9610188095393686
0c2f33b9-f94d69b5.jpg,all,24,10,8,0.3333333333333333,0.4166666666666667,0.833300796129018
0c984e6d-2b5d7ee4.jpg,car,11,9,7,0.6363636363636364,0.8181818181818182,0.8022827158297264
0c984e6d-2b5d7ee4.jpg,all,11,9,7,0.6363636363636364,0.8181818181818182,0.8022827158297264
0cb67a01-7cf1687e.jpg,bus,1,0,0,0.0,0.0,
0cb67a01-7cf1687e.jpg,car,5,3,2,0.4,0.6,0.9525658007678088
0cb67a01-7cf1687e.jpg,all,6,3,2,0.3333333333333333,0.5,0.9525658007678088
0cc6f3e8-b4c9e348.jpg,bus,1,0,0,0.0,0.0,
0cc6f3e8-b4c9e348.jpg,car,12,6,6,0.5,0.5,0.776552400391751
0cc6f3e8-b4c9e348.jpg,all,13,6,6,0.46153846153846156,0.46153846153846156,0.776552400391751
0cf398b3-ce65ab64.jpg,bus,0,1,0,,,
0cf398b3-ce65ab64.jpg,car,5,2,2,0.4,0.4,0.7398274963627671
0cf398b3-ce65ab64.jpg,all,5,3,2,0.4,0.6,0.7398274963627671
0d3ec56a-f4cead6f.jpg,car,6,1,1,0.16666666666666666,0.16666666666666666,0.7986586635241768
0d3ec56a-f4cead6f.jpg,all,6,1,1,0.16666666666666666,0.16666666666666666,0.7986586635241768
