augmentation,level,class,matched_recall,snr_db
low_light,1,bus,0.1282051282051282,9.765437830091146
low_light,1,car,0.34896569618890755,9.763762458484457
low_light,1,truck,0.33895363895363895,9.809228200762243
low_light,2,bus,0.1282051282051282,7.375458847166615
low_light,2,car,0.3499164095533636,7.374965971292587
low_light,2,truck,0.33254338254338256,7.4009309597826025
low_light,3,bus,0.1282051282051282,5.538734098460575
low_light,3,car,0.3448952907042393,5.515471639321857
low_light,3,truck,0.33368298368298366,5.534217647545439
low_light,4,bus,0.1282051282051282,4.078656046106798
low_light,4,car,0.33196339595686153,4.065104382854781
low_light,4,motorcycle,,4.102786192215527
low_light,4,truck,0.33154623154623153,4.076971549825203
low_light,5,bus,0.10256410256410256,2.9142008855613
low_light,5,car,0.31334134608255093,2.9105012138513024
low_light,5,motorcycle,,2.9362701280257246
low_light,5,truck,0.2901709401709402,2.9191729400676762
low_light,6,bus,0.10256410256410256,1.9601134099610757
low_light,6,car,0.2889417532341708,1.9587019009843505
low_light,6,motorcycle,,1.9749061100387628
low_light,6,truck,0.25997150997151,1.9657305915835186
low_light,7,bus,0.08974358974358974,1.2008448642199665
low_light,7,car,0.24489622908389128,1.203006249649211
low_light,7,truck,0.1866096866096866,1.205292645238191
low_light,8,bus,0.0641025641025641,0.613336125209898
low_light,8,car,0.16095165165798614,0.6148090755401359
low_light,8,truck,0.08547008547008547,0.6167808722818569
low_light,9,bus,0.0,0.18618318998604036
low_light,9,car,0.012608216800380241,0.18592833516165333
low_light,9,truck,0.0,0.18665217131306672
motion_blur,1,bus,0.1282051282051282,33.56704286222364
motion_blur,1,car,0.37705634746708894,33.97718664797648
motion_blur,1,motorcycle,,33.71784966180026
motion_blur,1,truck,0.34536389536389533,33.88582347696687
motion_blur,2,bus,0.1282051282051282,28.744513279204725
motion_blur,2,car,0.36948151105212274,29.117429466413583
motion_blur,2,motorcycle,,28.451170254959344
motion_blur,2,truck,0.32185962185962186,29.128034510291236
motion_blur,3,bus,0.15384615384615385,25.3647546951283
motion_blur,3,car,0.33405569944738867,25.5553355532733
motion_blur,3,motorcycle,,24.8911484926605
motion_blur,3,truck,0.2742812742812743,25.71793880064162
motion_blur,4,bus,0.15384615384615385,24.40107502253537
motion_blur,4,car,0.30688371613560605,24.591223016028348
motion_blur,4,motorcycle,,23.96094034231492
motion_blur,4,truck,0.22015022015022015,24.745633817594605
motion_blur,5,bus,0.1282051282051282,22.907736863641976
motion_blur,5,car,0.25508095560105665,23.237356248822312
motion_blur,5,motorcycle,,22.81978967660644
motion_blur,5,truck,0.13746438746438747,23.383566630912878
motion_blur,6,bus,0.1282051282051282,22.39259317749387
motion_blur,6,car,0.2283050911996252,22.72754751974733
motion_blur,6,motorcycle,,22.446897198616096
motion_blur,6,truck,0.13746438746438747,22.90713298455662
motion_blur,7,bus,0.1282051282051282,21.819621578621906
motion_blur,7,car,0.20522088224002516,22.29088018237662
motion_blur,7,motorcycle,,22.109946589818136
motion_blur,7,truck,0.10327635327635327,22.498042788544808
motion_blur,8,bus,0.1282051282051282,21.147687464685152
motion_blur,8,car,0.1636233237342219,21.569787459775117
motion_blur,8,truck,0.04985754985754985,21.81896144032555
motion_blur,9,bus,0.1282051282051282,20.92322527905526
motion_blur,9,car,0.1516689905614978,21.265136986558172
motion_blur,9,truck,0.047720797720797715,21.485635370204598
rain,1,bicycle,,23.49040886656176
rain,1,bus,0.07692307692307693,22.13844047377373
rain,1,car,0.34174141037139105,22.12787140991231
rain,1,motorcycle,,21.423670766715155
rain,1,truck,0.31324786324786325,22.170594652194303
rain,2,bus,0.10256410256410256,16.848929411046463
rain,2,car,0.3037330451100677,16.804301430575908
rain,2,motorcycle,,17.20889385809109
rain,2,truck,0.23076923076923078,17.048860119067133
rain,3,bus,0.0641025641025641,12.65258980481686
rain,3,car,0.28564639776404993,12.74987654474308
rain,3,truck,0.18447293447293447,13.018661692246551
rain,4,bus,0.05128205128205128,10.421084215916212
rain,4,car,0.26895856928098866,10.330781920438035
rain,4,truck,0.16595441595441596,10.547614804236897
rain,5,bus,0.07692307692307693,8.688901790570313
rain,5,car,0.25991209868371146,8.592847609848938
rain,5,truck,0.14672364672364674,8.806152910759272
rain,6,bus,0.08974358974358974,7.325302228359979
rain,6,car,0.25430788674181126,7.315825380294404
rain,6,truck,0.14031339031339032,7.559419078194448
rain,7,bus,0.0641025641025641,6.280982860506356
rain,7,car,0.24018321293199132,6.310256850752309
rain,7,truck,0.15455840455840456,6.571120413522759
rain,8,bus,0.0641025641025641,5.473608078482159
rain,8,car,0.23824466907922276,5.499080620288531
rain,8,truck,0.14886039886039887,5.760578738090167
rain,9,bus,0.07692307692307693,4.842121275014995
rain,9,car,0.2215297967466482,4.799676238930428
rain,9,truck,0.15527065527065528,4.931835157935712
