img1,img2,method,n_keypoints_img1,n_keypoints_img2,n_good_matches,n_inliers,inlier_ratio,match_ratio,avg_match_distance,detect_time_sec,match_time_sec,visualization_path
00e9be89-00001100.jpg,00e9be89-00001105.jpg,orb,2000,2000,30,12,0.4,0.015,41.6,0.0149,0.0036,
00e9be89-00001105.jpg,00e9be89-00001115.jpg,orb,2000,2000,30,10,0.3333,0.015,46.5667,0.0147,0.0035,
00e9be89-00001115.jpg,00e9be89-00001125.jpg,orb,2000,2000,21,6,0.2857,0.0105,44.0476,0.0153,0.0036,
00e9be89-00001125.jpg,00e9be89-00001130.jpg,orb,2000,2000,47,25,0.5319,0.0235,34.0426,0.0159,0.0035,
00e9be89-00001130.jpg,00e9be89-00001135.jpg,orb,2000,2000,67,38,0.5672,0.0335,36.0149,0.0155,0.0036,
00e9be89-00001135.jpg,00e9be89-00001140.jpg,orb,2000,2000,74,55,0.7432,0.037,34.3378,0.0149,0.0039,
00e9be89-00001140.jpg,00e9be89-00001150.jpg,orb,2000,2000,61,40,0.6557,0.0305,34.3934,0.0148,0.0037,
00e9be89-00001150.jpg,00e9be89-00001155.jpg,orb,2000,2000,101,72,0.7129,0.0505,33.3663,0.0145,0.0035,
00e9be89-00001155.jpg,00e9be89-00001160.jpg,orb,2000,2000,92,51,0.5543,0.046,31.1304,0.014,0.0035,
00e9be89-00001160.jpg,00e9be89-00001165.jpg,orb,2000,2000,24,15,0.625,0.012,36.5833,0.0139,0.0034,
00e9be89-00001165.jpg,00e9be89-00001170.jpg,orb,2000,2000,54,31,0.5741,0.027,37.6481,0.0139,0.0035,
00e9be89-00001170.jpg,00e9be89-00001175.jpg,orb,2000,2000,29,16,0.5517,0.0145,37.2414,0.0146,0.0037,
00e9be89-00001175.jpg,00e9be89-00001180.jpg,orb,2000,2000,74,48,0.6486,0.037,37.2162,0.0144,0.0036,
00e9be89-00001180.jpg,00e9be89-00001185.jpg,orb,2000,2000,33,15,0.4545,0.0165,40.7273,0.0148,0.0037,
00e9be89-00001185.jpg,00e9be89-00001190.jpg,orb,2000,2000,13,5,0.3846,0.0065,46.6154,0.0153,0.0036,
00e9be89-00001190.jpg,00e9be89-00001195.jpg,orb,2000,2000,13,7,0.5385,0.0065,45.0769,0.0154,0.0035,
00e9be89-00001195.jpg,00e9be89-00001200.jpg,orb,2000,1987,10,5,0.5,0.005,40.6,0.0147,0.0035,
00e9be89-00001200.jpg,00e9be89-00001205.jpg,orb,1987,1996,26,9,0.3462,0.0131,39.2692,0.0127,0.0035,
00e9be89-00001205.jpg,00e9be89-00001210.jpg,orb,1996,2000,26,6,0.2308,0.013,40.6923,0.0132,0.0035,
00e9be89-00001210.jpg,00e9be89-00001215.jpg,orb,2000,2000,40,23,0.575,0.02,38.85,0.0139,0.004,
00e9be89-00001215.jpg,00e9be89-00001220.jpg,orb,2000,2000,17,6,0.3529,0.0085,43.8824,0.0149,0.0037,
00e9be89-00001220.jpg,00e9be89-00001225.jpg,orb,2000,2000,21,7,0.3333,0.0105,43.619,0.0151,0.0036,
00e9be89-00001225.jpg,00e9be89-00001230.jpg,orb,2000,2000,19,7,0.3684,0.0095,40.1579,0.0139,0.0036,
00e9be89-00001230.jpg,00e9be89-00001240.jpg,orb,2000,1819,70,54,0.7714,0.0385,34.8571,0.0129,0.0032,
00e9be89-00001240.jpg,00e9be89-00001245.jpg,orb,1819,2000,27,14,0.5185,0.0148,39.3704,0.0135,0.0033,
00e9be89-00001245.jpg,00e9be89-00001250.jpg,orb,2000,2000,19,7,0.3684,0.0095,45.7895,0.0143,0.0035,
00e9be89-00001250.jpg,00e9be89-00001255.jpg,orb,2000,2000,40,23,0.575,0.02,35.7,0.015,0.0036,
00e9be89-00001255.jpg,00e9be89-00001260.jpg,orb,2000,2000,36,27,0.75,0.018,36.3333,0.016,0.0036,
00e9be89-00001260.jpg,00e9be89-00001265.jpg,orb,2000,2000,34,20,0.5882,0.017,37.0588,0.0159,0.0036,
00e9be89-00001265.jpg,00e9be89-00001270.jpg,orb,2000,2000,9,4,0.4444,0.0045,48.3333,0.0156,0.0036,
00e9be89-00001270.jpg,00e9be89-00001275.jpg,orb,2000,2000,7,7,1.0,0.0035,35.4286,0.0165,0.0039,
