img1,img2,method,n_keypoints_img1,n_keypoints_img2,n_good_matches,n_inliers,inlier_ratio,match_ratio,avg_match_distance,detect_time_sec,match_time_sec,visualization_path,augmentation,level,snr_db
00e9be89-00001075.jpg,00e9be89-00001080.jpg,orb,2000,2000,40,23,0.575,0.02,37.175,0.0151,0.004,,motion_blur,1,38.08308296750312
00e9be89-00001080.jpg,00e9be89-00001090.jpg,orb,2000,2000,40,23,0.575,0.02,37.825,0.0139,0.0037,,motion_blur,1,40.44090229355234
00e9be89-00001090.jpg,00e9be89-00001095.jpg,orb,2000,2000,73,50,0.6849,0.0365,34.9041,0.014,0.0036,,motion_blur,1,39.32340219163535
00e9be89-00001095.jpg,00e9be89-00001100.jpg,orb,2000,2000,65,36,0.5538,0.0325,36.5692,0.0145,0.0045,,motion_blur,1,38.78196363143853
00e9be89-00001100.jpg,00e9be89-00001105.jpg,orb,2000,2000,28,15,0.5357,0.014,39.9286,0.0147,0.0036,,motion_blur,1,38.215381870152704
00e9be89-00001105.jpg,00e9be89-00001115.jpg,orb,2000,2000,20,8,0.4,0.01,43.45,0.0146,0.0034,,motion_blur,1,36.52620923962273
00e9be89-00001115.jpg,00e9be89-00001125.jpg,orb,2000,2000,29,8,0.2759,0.0145,43.6552,0.0148,0.0036,,motion_blur,1,34.84147724357527
00e9be89-00001125.jpg,00e9be89-00001130.jpg,orb,2000,2000,41,20,0.4878,0.0205,34.3171,0.0155,0.0036,,motion_blur,1,35.029108181610965
00e9be89-00001130.jpg,00e9be89-00001135.jpg,orb,2000,2000,75,38,0.5067,0.0375,36.2933,0.0154,0.0039,,motion_blur,1,37.48711417439348
00e9be89-00001135.jpg,00e9be89-00001140.jpg,orb,2000,2000,76,56,0.7368,0.038,33.9079,0.0147,0.0035,,motion_blur,1,37.30829569237886
00e9be89-00001140.jpg,00e9be89-00001150.jpg,orb,2000,2000,65,39,0.6,0.0325,33.9077,0.0146,0.0035,,motion_blur,1,35.94780509172962
00e9be89-00001150.jpg,00e9be89-00001155.jpg,orb,2000,2000,103,67,0.6505,0.0515,34.1359,0.0147,0.0036,,motion_blur,1,37.634781729105555
00e9be89-00001155.jpg,00e9be89-00001160.jpg,orb,2000,2000,101,57,0.5644,0.0505,31.5347,0.0142,0.0036,,motion_blur,1,38.24528271432659
00e9be89-00001160.jpg,00e9be89-00001165.jpg,orb,2000,2000,25,16,0.64,0.0125,36.84,0.0138,0.0036,,motion_blur,1,38.23340171594944
00e9be89-00001165.jpg,00e9be89-00001170.jpg,orb,2000,2000,64,37,0.5781,0.032,37.625,0.0142,0.0037,,motion_blur,1,37.667915104409005
00e9be89-00001170.jpg,00e9be89-00001175.jpg,orb,2000,2000,37,20,0.5405,0.0185,36.4595,0.0146,0.0036,,motion_blur,1,37.40856406411894
