augmentation,level,inlier_ratio,match_ratio,n_good_matches,snr_db
low_light,1,0.5401073033707865,0.08375,167.25280898876406,10.553017744554994
motion_blur,1,0.5243129213483146,0.08534438202247191,170.56741573033707,35.926751733574285
motion_blur,2,0.5294758426966293,0.1078870786516854,59.938202247191015,22.703601302233142
rain,1,0.5383269662921348,0.07783483146067416,155.58988764044943,22.483184562127285
rain,2,0.5072657303370787,0.06764662921348315,135.18539325842696,6.724939281885097
